Letterboxd list export v7
Date,Name,Tags,URL,Description
2022-12-06,Pixar films ,,https://boxd.it/jreYU,

Position,Name,Year,URL,Description
1,Up,2009,https://boxd.it/1OEc,
2,Ratatouille,2007,https://boxd.it/27ww,
3,WALL·E,2008,https://boxd.it/1VEo,
4,"Monsters, Inc.",2001,https://boxd.it/2a46,
5,The Incredibles,2004,https://boxd.it/1XLm,
6,Toy Story 3,2010,https://boxd.it/1WRe,
7,Coco,2017,https://boxd.it/bYJQ,
8,Soul,2020,https://boxd.it/ioLA,
9,Finding Nemo,2003,https://boxd.it/72i,
10,Cars,2006,https://boxd.it/29ho,
11,Toy Story 2,1999,https://boxd.it/29qq,
12,Inside Out,2015,https://boxd.it/4KHC,
13,Toy Story,1995,https://boxd.it/29qA,
14,Toy Story 4,2019,https://boxd.it/9ALu,
15,Turning Red,2022,https://boxd.it/ipkq,
16,Incredibles 2,2018,https://boxd.it/7IPg,
17,Monsters University,2013,https://boxd.it/bQm,
18,A Bug's Life,1998,https://boxd.it/1Yyy,
19,Finding Dory,2016,https://boxd.it/4aAA,
20,Brave,2012,https://boxd.it/bVG,
21,Inside Out 2,2024,https://boxd.it/CFrC,
22,Onward,2020,https://boxd.it/io92,
23,Cars 3,2017,https://boxd.it/7IPq,
24,Cars 2,2011,https://boxd.it/H4Y,
25,Lightyear,2022,https://boxd.it/qV1G,
26,The Good Dinosaur,2015,https://boxd.it/3AD4,
27,Luca,2021,https://boxd.it/ipjC,
