Letterboxd list export v7
Date,Name,Tags,URL,Description
2022-11-30,Top 25,,https://boxd.it/jltTy,These are the favs!

Position,Name,Year,URL,Description
1,Mad Max: Fury Road,2015,https://boxd.it/2DjO,
2,Up,2009,https://boxd.it/1OEc,
3,No Country for Old Men,2007,https://boxd.it/21ew,
4,The Thing,1982,https://boxd.it/294O,
5,Oldboy,2003,https://boxd.it/29R2,
6,Whiplash,2014,https://boxd.it/7bQA,
7,The Lord of the Rings: The Return of the King,2003,https://boxd.it/2b5u,
8,The Dark Knight,2008,https://boxd.it/2b0k,
9,Schindler's List,1993,https://boxd.it/2aq2,
10,Indiana Jones and the Last Crusade,1989,https://boxd.it/2baO,
11,Akira,1988,https://boxd.it/2b1i,
12,The Lord of the Rings: The Fellowship of the Ring,2001,https://boxd.it/2b5O,
13,Come and See,1985,https://boxd.it/1w9q,
14,Citizen Kane,1941,https://boxd.it/71O,
15,Ex Machina,2015,https://boxd.it/7T2k,
16,2001: A Space Odyssey,1968,https://boxd.it/2bf0,
17,The Truman Show,1998,https://boxd.it/18U8,
18,There Will Be Blood,2007,https://boxd.it/20Z2,
19,The Social Network,2010,https://boxd.it/17ue,
20,Heathers,1989,https://boxd.it/26x4,
21,The Departed,2006,https://boxd.it/28MA,
22,Spirited Away,2001,https://boxd.it/2b4m,
23,Blade Runner 2049,2017,https://boxd.it/b8wK,
24,The Lighthouse,2019,https://boxd.it/icFU,
25,Fantasia,1940,https://boxd.it/29HG,
