Date,Name,Year,Letterboxd URI,Rating
2022-11-30,The Batman,2022,https://boxd.it/eDGs,4.5
2022-11-30,Mad Max: Fury Road,2015,https://boxd.it/2DjO,5
2022-11-30,Barbarian,2022,https://boxd.it/yohi,4
2022-11-30,Black Panther: Wakanda Forever,2022,https://boxd.it/igPu,1.5
2022-11-30,Top Gun: Maverick,2022,https://boxd.it/cjr4,4.5
2022-11-30,Nope,2022,https://boxd.it/sDCe,4.5
2022-11-30,We're All Going to the World's Fair,2021,https://boxd.it/tbmY,4
2022-11-30,Minions: The Rise of Gru,2022,https://boxd.it/fz9w,0.5
2022-11-30,Sonic the Hedgehog 2,2022,https://boxd.it/pb8O,2
2022-11-30,Jurassic World Dominion,2022,https://boxd.it/ikXW,1.5
2022-11-30,Elvis,2022,https://boxd.it/mK4w,3
2022-11-30,Hotel Transylvania: Transformania,2022,https://boxd.it/lwCC,0.5
2022-11-30,Scream,2022,https://boxd.it/o0lg,3.5
2022-11-30,Jackass Forever,2022,https://boxd.it/opUg,3.5
2022-11-30,Turning Red,2022,https://boxd.it/ipkq,3.5
2022-11-30,Thor: Love and Thunder,2022,https://boxd.it/mMAY,3
2022-11-30,The Bad Guys,2022,https://boxd.it/nkg4,3.5
2022-11-30,The Sea Beast,2022,https://boxd.it/kv3a,3
2022-11-30,Emily the Criminal,2022,https://boxd.it/wBOq,3.5
2022-11-30,Bodies Bodies Bodies,2022,https://boxd.it/iRcE,3.5
2022-11-30,Samaritan,2022,https://boxd.it/njkY,1.5
2022-11-30,Pearl,2022,https://boxd.it/zPbe,3
2022-11-30,X,2022,https://boxd.it/sxVa,3
2022-11-30,One Piece Film Red,2022,https://boxd.it/y2b8,3
2022-11-30,Jujutsu Kaisen 0,2021,https://boxd.it/uvFS,4
2022-11-30,Dragon Ball Super: Super Hero,2022,https://boxd.it/mxII,3
2022-12-03,Violent Night,2022,https://boxd.it/xXBA,1.5
2022-12-03,Lightyear,2022,https://boxd.it/qV1G,2
