Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2023-01-15,Skinamarink,2022,https://boxd.it/3HXtxR,0.5,,,2023-01-14
2023-04-20,Beau Is Afraid,2023,https://boxd.it/48Ofvx,4.5,,,2023-04-19
2023-06-02,Spider-Man: Across the Spider-Verse,2023,https://boxd.it/4jTQpb,4.5,,,2023-06-01
2024-07-17,Longlegs,2024,https://boxd.it/6TBAhf,2.5,,,2024-07-16
2024-12-26,Nosferatu,2024,https://boxd.it/8axWYj,4,,,2024-12-25
2025-01-14,The Last Showgirl,2024,https://boxd.it/8sZLKX,2.5,,watched with paityne 2025,2025-01-13
2025-01-14,Babygirl,2024,https://boxd.it/8sZNaH,2.5,,watched with paityne 2025,2025-01-13
2025-01-18,The Brutalist,2024,https://boxd.it/8vS11Z,4.5,,watched with paityne 2025,2025-01-17
2025-01-25,Presence,2024,https://boxd.it/8B4Sgx,1.5,,watched with paityne 2025,2025-01-24
2025-01-28,Brave the Dark,2023,https://boxd.it/8DLCvP,1,,watched with mom 2025,2025-01-27
2025-02-01,Companion,2025,https://boxd.it/8GV8Kd,4,,,2025-02-01
2025-02-03,Sideways,2004,https://boxd.it/8IxY49,3.5,,,2025-02-02
2025-02-05,50/50,2011,https://boxd.it/8JPi0J,3,,,2025-02-04
2025-02-20,Captain America: Brave New World,2025,https://boxd.it/8Tawbz,1.5,,,2025-02-19
2025-03-02,The Monkey,2025,https://boxd.it/8ZU4WD,3.5,,,2025-03-01
2025-03-02,Tropic Thunder,2008,https://boxd.it/8ZUbiF,4,,,2025-03-01
2025-03-08,Mickey 17,2025,https://boxd.it/93IWAD,4,,,2025-03-08
2025-03-09,Cure,1997,https://boxd.it/94oC6x,4.5,,,2025-03-08
2025-03-17,Barry Lyndon,1975,https://boxd.it/99v2w9,3.5,,,2025-03-16
2025-03-18,Seven Samurai,1954,https://boxd.it/99ReRH,4.5,,,2025-03-17
2025-03-20,In Bruges,2008,https://boxd.it/9b05O7,4.5,,,2025-03-19
2025-03-31,After Hours,1985,https://boxd.it/9hreWH,4,,,2025-03-30
2025-04-07,Hell of a Summer,2023,https://boxd.it/9kTE6b,2.5,,,2025-04-06
2025-04-11,Warfare,2025,https://boxd.it/9nmNjf,3.5,,,2025-04-10
2025-04-13,A Minecraft Movie,2025,https://boxd.it/9ouRxl,2,,,2025-04-12
2025-04-20,The Tree of Life,2011,https://boxd.it/9slK4f,4,,,2025-04-19
2025-04-20,Sinners,2025,https://boxd.it/9sJVmn,3,,,2025-04-19
