Date,Name,Year,Letterboxd URI
2025-03-09,Cure,1997,https://boxd.it/1blA
2025-03-10,Uncut Gems,2019,https://boxd.it/gXGc
2025-03-10,Se7en,1995,https://boxd.it/29zs
2025-03-10,The Batman,2022,https://boxd.it/eDGs
2025-03-10,Aftersun,2022,https://boxd.it/Arw0
2025-03-10,Punch-Drunk Love,2002,https://boxd.it/20E4
2025-03-11,Fargo,1996,https://boxd.it/2aHM
2025-03-11,GoodFellas,1990,https://boxd.it/29FA
2025-03-11,Scott Pilgrim vs. the World,2010,https://boxd.it/1Aq6
2025-03-11,The Lighthouse,2019,https://boxd.it/icFU
2025-03-18,Seven Samurai,1954,https://boxd.it/2axi
2025-03-31,After Hours,1985,https://boxd.it/1VfS
2025-04-20,The Tree of Life,2011,https://boxd.it/1Zu8
2026-04-02,Before Sunrise,1995,https://boxd.it/2bcU
2026-04-02,Before Sunset,2004,https://boxd.it/2bcg
2026-04-02,The Shawshank Redemption,1994,https://boxd.it/2aHi
