Date,Name,Year,Letterboxd URI,Rating
2021-09-29,Malignant,2021,https://boxd.it/mViE,3.5
2021-09-29,Candyman,2021,https://boxd.it/kHFg,4
2021-09-29,Soul,2020,https://boxd.it/ioLA,4
2021-09-29,Judas and the Black Messiah,2021,https://boxd.it/lsew,4.5
2021-09-29,Borat Subsequent Moviefilm: Delivery of Prodigious Bribe to American Regime for Make Benefit Once Glorious Nation of Kazakhstan,2020,https://boxd.it/rNS0,4
2021-09-29,Fear Street: 1994,2021,https://boxd.it/lLBk,2.5
2021-09-29,Sonic the Hedgehog,2020,https://boxd.it/gdK8,3
2021-09-29,Bad Trip,2021,https://boxd.it/lgRG,3.5
2021-09-29,Bill & Ted Face the Music,2020,https://boxd.it/i7BI,2.5
2021-09-29,Horse Girl,2020,https://boxd.it/oioi,1
2021-09-29,Knives Out,2019,https://boxd.it/jWEA,4
2021-09-29,Jojo Rabbit,2019,https://boxd.it/iEBG,4.5
2021-09-29,Avengers: Endgame,2019,https://boxd.it/9vE4,3.5
2021-09-29,Spider-Man: Far From Home,2019,https://boxd.it/fegG,3.5
2021-09-29,Booksmart,2019,https://boxd.it/igNS,3.5
2021-09-29,Captain Marvel,2019,https://boxd.it/9vSA,2.5
2021-09-29,The Irishman,2019,https://boxd.it/dYOq,4
2021-09-29,Toy Story 4,2019,https://boxd.it/9ALu,3.5
2021-09-29,It Chapter Two,2019,https://boxd.it/h10u,3
2021-09-29,Frozen II,2019,https://boxd.it/aPvo,2
2021-09-29,The Lion King,2019,https://boxd.it/eSjI,2
2021-09-29,El Camino: A Breaking Bad Movie,2019,https://boxd.it/kv0q,4
2021-09-29,The Peanut Butter Falcon,2019,https://boxd.it/gzu2,4.5
2021-09-29,Jumanji: The Next Level,2019,https://boxd.it/ixu4,2.5
2021-09-29,A Beautiful Day in the Neighborhood,2019,https://boxd.it/i7vA,3.5
2021-09-29,The Suicide Squad,2021,https://boxd.it/fw6O,4
2021-09-29,The Lego Movie 2: The Second Part,2019,https://boxd.it/8BAU,3.5
2021-09-29,Avengers: Infinity War,2018,https://boxd.it/9vEe,4.5
2021-09-29,Black Panther,2018,https://boxd.it/8MHs,3.5
2021-09-29,Hereditary,2018,https://boxd.it/hNVe,4.5
2021-09-29,Incredibles 2,2018,https://boxd.it/7IPg,3.5
2021-09-29,Ant-Man and the Wasp,2018,https://boxd.it/cqUW,3
2021-09-29,Sorry to Bother You,2018,https://boxd.it/f21E,4.5
2021-09-29,Solo: A Star Wars Story,2018,https://boxd.it/bGWs,3
2021-09-29,Mission: Impossible – Fallout,2018,https://boxd.it/bSVc,4.5
2021-09-29,Halloween,2018,https://boxd.it/f0uE,4
2021-09-29,Baby Driver,2017,https://boxd.it/bhF2,4.5
2021-09-29,Coco,2017,https://boxd.it/bYJQ,4.5
2021-09-29,Star Wars: The Last Jedi,2017,https://boxd.it/5xme,1
2021-09-29,The Disaster Artist,2017,https://boxd.it/cTqc,3.5
2021-09-29,Happy Death Day,2017,https://boxd.it/fDz4,3.5
2021-09-29,Wonder,2017,https://boxd.it/ekeY,3.5
2021-09-29,Cars 3,2017,https://boxd.it/7IPq,3
2021-09-29,Despicable Me 3,2017,https://boxd.it/azpu,2
2021-09-29,Death Note,2017,https://boxd.it/bOS4,0.5
2021-10-08,Shang-Chi and the Legend of the Ten Rings,2021,https://boxd.it/kLDI,3.5
2021-10-09,Halloween,1978,https://boxd.it/2wRu,5
2021-10-13,Saw II,2005,https://boxd.it/2aRs,2.5
2021-10-13,Saw III,2006,https://boxd.it/2aRC,2.5
2021-10-31,Dune,2021,https://boxd.it/fA7G,3.5
2021-11-20,Monster,2004,https://boxd.it/py6Q,5
2022-03-05,The Batman,2022,https://boxd.it/eDGs,4.5
2022-03-07,Joker,2019,https://boxd.it/h4cS,4
2022-03-07,Spider-Man 2,2004,https://boxd.it/2a88,5
2022-03-07,Godzilla,1954,https://boxd.it/28kc,5
2022-03-07,The Worst Person in the World,2021,https://boxd.it/oyws,4.5
2022-03-07,Licorice Pizza,2021,https://boxd.it/qTKY,3.5
2022-03-07,Uncharted,2022,https://boxd.it/b5Dy,3
2022-03-07,Inception,2010,https://boxd.it/1skk,4.5
2022-03-07,Get Out,2017,https://boxd.it/eOCm,4.5
2022-03-07,GoodFellas,1990,https://boxd.it/29FA,5
2022-03-26,X,2022,https://boxd.it/sxVa,4
2022-03-29,The Shining,1980,https://boxd.it/29Nu,4.5
2022-03-29,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/6YK,4.5
2022-03-29,The Truman Show,1998,https://boxd.it/18U8,5
2022-04-14,Everything Everywhere All at Once,2022,https://boxd.it/jUk4,4.5
2022-04-14,Sonic the Hedgehog 2,2022,https://boxd.it/pb8O,3
2022-04-14,Morbius,2022,https://boxd.it/j978,0.5
2022-04-14,Death on the Nile,2022,https://boxd.it/ifpg,2
2022-04-14,Umma,2022,https://boxd.it/scAg,1.5
2022-04-21,The Lighthouse,2019,https://boxd.it/icFU,5
2022-05-12,Doctor Strange,2016,https://boxd.it/8MH8,3.5
2022-05-12,The Northman,2022,https://boxd.it/nK2s,4
2022-05-12,The Unbearable Weight of Massive Talent,2022,https://boxd.it/o6eK,3.5
2022-05-16,Ex Machina,2015,https://boxd.it/7T2k,5
2022-05-30,Top Gun: Maverick,2022,https://boxd.it/cjr4,4
2022-06-05,Crimes of the Future,2022,https://boxd.it/uTuY,2.5
2022-06-25,Lightyear,2022,https://boxd.it/qV1G,3
2022-06-25,Jurassic World Dominion,2022,https://boxd.it/ikXW,2
2022-06-29,A Beautiful Mind,2001,https://boxd.it/2amk,2.5
2022-07-09,Minions: The Rise of Gru,2022,https://boxd.it/fz9w,2.5
2022-07-24,Nope,2022,https://boxd.it/sDCe,4.5
2022-09-04,Jaws,1975,https://boxd.it/2a5e,5
2022-09-04,Bodies Bodies Bodies,2022,https://boxd.it/iRcE,4
2022-09-04,Parasite,2019,https://boxd.it/hTha,4.5
2022-09-04,Uncut Gems,2019,https://boxd.it/gXGc,5
2022-09-04,Spider-Man: No Way Home,2021,https://boxd.it/nwRw,4
2022-09-04,No Country for Old Men,2007,https://boxd.it/21ew,5
2022-09-04,Spider-Man: Homecoming,2017,https://boxd.it/aboM,3.5
2022-09-04,It,2017,https://boxd.it/bC8e,3.5
2022-09-04,Saw,2004,https://boxd.it/2aWW,3.5
2022-09-04,A Quiet Place,2018,https://boxd.it/fVJQ,3
2022-09-04,Guardians of the Galaxy Vol. 2,2017,https://boxd.it/8MxC,3
2022-09-04,Deadpool 2,2018,https://boxd.it/dlLM,3
2022-09-04,Cruella,2021,https://boxd.it/bbKg,3
2022-09-04,Black Widow,2021,https://boxd.it/hWV8,2
