Date,Name,Year,Letterboxd URI
2022-11-29,Come and See,1985,https://boxd.it/1w9q
2023-03-01,Portrait of a Lady on Fire,2019,https://boxd.it/jkPq
2023-05-06,Juno,2007,https://boxd.it/210a
2023-05-06,Being John Malkovich,1999,https://boxd.it/2ahu
2023-05-06,Adaptation.,2002,https://boxd.it/26mA
2023-05-06,I'm Thinking of Ending Things,2020,https://boxd.it/i4IQ
2023-05-06,BlacKkKlansman,2018,https://boxd.it/hxL8
2023-05-06,Do the Right Thing,1989,https://boxd.it/29gA
2023-05-06,The Exorcist,1973,https://boxd.it/1Yoo
2023-05-06,Interstellar,2014,https://boxd.it/4VZ8
2024-01-12,La Haine,1995,https://boxd.it/2as8
2024-01-12,Moonlight,2016,https://boxd.it/d6bE
2024-01-12,Birdman or (The Unexpected Virtue of Ignorance),2014,https://boxd.it/5RFA
2024-01-14,The Big Lebowski,1998,https://boxd.it/2b6C
2024-01-15,Fritz the Cat,1972,https://boxd.it/1RCI
2024-04-29,Slacker,1990,https://boxd.it/1OUu
2024-10-30,Possession,1981,https://boxd.it/1BPm
2024-10-30,Tetsuo: The Iron Man,1989,https://boxd.it/ZoM
2024-10-30,Candyman,1992,https://boxd.it/1Ys6
2024-10-30,The Host,2006,https://boxd.it/28ZY
2024-10-30,Blade II,2002,https://boxd.it/1agO
2024-10-30,Kwaidan,1964,https://boxd.it/1kbY
2024-10-30,Eyes Without a Face,1960,https://boxd.it/1j9i
2025-01-30,The Holy Mountain,1973,https://boxd.it/20mu
2025-01-30,El Topo,1970,https://boxd.it/1QYS
2025-03-06,Mean Creek,2004,https://boxd.it/1S7c
2025-03-08,Gandhi,1982,https://boxd.it/29Dk
2025-03-08,The Green Knight,2021,https://boxd.it/kuy2
2025-03-08,Lawrence of Arabia,1962,https://boxd.it/2wRE
2025-03-10,Ring,1998,https://boxd.it/26tw
2025-03-10,Malcolm X,1992,https://boxd.it/27WE
2025-03-10,Heat,1995,https://boxd.it/2bg8
2025-03-10,Ran,1985,https://boxd.it/1Tlu
2025-03-12,The Trial,1962,https://boxd.it/25Xg
2025-03-31,Casino,1995,https://boxd.it/2ads
2025-04-03,Timecrimes,2007,https://boxd.it/1OGM
2025-04-03,JFK,1991,https://boxd.it/29xm
2025-04-03,Walk the Line,2005,https://boxd.it/2bdS
2025-04-03,Amadeus,1984,https://boxd.it/2aH8
2025-04-08,The Place Beyond the Pines,2012,https://boxd.it/3mDu
2025-04-08,Heaven Knows What,2014,https://boxd.it/8P1a
2025-04-10,Logan,2017,https://boxd.it/7Piy
2025-04-10,X-Men: First Class,2011,https://boxd.it/FOA
