Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2022-12-14,Cult of Chucky,2017,https://boxd.it/3wRlVv,,,netflix,2018-10-19
2020-02-25,The Lord of the Rings: The Two Towers,2002,https://boxd.it/10l9HD,,Yes,,2020-02-24
2020-03-01,A Wrinkle in Time,2018,https://boxd.it/10HnLX,1.5,Yes,,2020-02-29
2020-03-01,The Lord of the Rings: The Return of the King,2003,https://boxd.it/10IAQj,,,,2020-02-29
2020-03-25,The Dark Knight,2008,https://boxd.it/12OZc9,5,Yes,,2020-03-24
2020-04-06,Spider-Man: Far From Home,2019,https://boxd.it/14eqjl,2.5,Yes,,2020-04-05
2020-04-14,Portrait of a Lady on Fire,2019,https://boxd.it/15hKCn,4,,,2020-04-13
2020-05-05,Last Days of Coney Island,2015,https://boxd.it/17RjUJ,,,,2020-05-04
2020-05-12,Rhubarb,2020,https://boxd.it/18IjOx,,,,2020-05-11
2020-06-07,Rogue One: A Star Wars Story,2016,https://boxd.it/1bBVNb,,Yes,,2020-06-06
2020-06-19,Stand Up Guys,2012,https://boxd.it/1cQSHD,2.5,,tubi,2020-06-12
2020-06-21,Citizen Kane,1941,https://boxd.it/1d5Zm3,,Yes,,2020-06-20
2020-07-01,Rashomon,1950,https://boxd.it/1e4SUp,,Yes,internet archive,2020-06-30
2020-07-03,Ran,1985,https://boxd.it/1eeELj,4.5,,internet archive,2020-07-02
2020-07-13,Bob le Flambeur,1956,https://boxd.it/1fkanx,3.5,,google play,2020-07-12
2020-07-27,Back to the Future,1985,https://boxd.it/1gKN9b,4,Yes,at a hotel,2020-07-26
2020-07-27,Star Wars,1977,https://boxd.it/1gLqyf,4,Yes,"at a hotel, w/ dad, w/ mom",2020-07-26
2020-08-01,Foodfight!,2012,https://boxd.it/1hk3cl,1,,,2020-07-31
2020-08-06,The Bye Bye Man,2017,https://boxd.it/1hOV5t,0.5,,netflix,2020-08-05
2020-08-12,X-Men: The Last Stand,2006,https://boxd.it/1iuOfP,1.5,,,2020-08-11
2020-08-13,X-Men Origins: Wolverine,2009,https://boxd.it/1iBIk9,1,,,2020-08-13
2020-08-17,The Irishman,2019,https://boxd.it/1j1XV7,4.5,Yes,netflix,2020-08-16
2020-08-28,Insomnia,2002,https://boxd.it/1k6VQj,,,,2020-08-28
2020-09-06,I'm Thinking of Ending Things,2020,https://boxd.it/1l6qRT,,,netflix,2020-09-05
2020-10-03,Enola Holmes,2020,https://boxd.it/1nRhtv,3,,netflix,2020-10-02
2020-10-25,Possession,1981,https://boxd.it/1qcVeZ,5,,,2020-10-24
2020-10-25,Kubrick by Kubrick,2020,https://boxd.it/1qdN95,2.5,,ciff 2020,2020-10-24
2020-11-02,Ford v Ferrari,2019,https://boxd.it/1rfCKx,2.5,Yes,,2020-11-01
2020-11-03,Dolittle,2020,https://boxd.it/1rkFJn,1,,,2020-11-02
2020-11-12,Terminator 2: Judgment Day,1991,https://boxd.it/1seFKR,5,Yes,"dvd, w the bois",2020-11-11
2020-11-13,The Two Popes,2019,https://boxd.it/1slj99,3,,netflix,2020-11-12
2020-11-16,Mulholland Drive,2001,https://boxd.it/1sGPOb,,Yes,,2020-11-16
2020-11-20,Bad Boys for Life,2020,https://boxd.it/1t0DlV,3,,,2020-11-19
2020-11-22,The Master,2012,https://boxd.it/1tfo59,4.5,Yes,netflix,2020-11-21
