Letterboxd list export v7
Date,Name,Tags,URL,Description
2020-11-13,"""2020"" movies watchlist",,https://boxd.it/9blPI,"Similar to the other list, for 2019 films but are considered 2020 films because people don't acknowledge the existence of foreign releases and festival premieres."

Position,Name,Year,URL,Description
1,The Wolf House,2018,https://boxd.it/i1vE,2018 - Released
2,Our Time Machine,2019,https://boxd.it/m28u,2019 - literally every release including US. Why the fuck is Gotham nominating this lmao
3,The Vast of Night,2019,https://boxd.it/kJyc,"2019 - Sundance, TIFF, Hamptons, Chicago, and many others
2020 - Already US released"
4,Fourteen,2019,https://boxd.it/l2q2,"2019 - Berlin and Vancouver festivals, among many others.
2020 - Already US released"
5,Saint Frances,2019,https://boxd.it/l9w2,"2019 - several smaller festivals worldwide.
2020 - Already US released"
6,Swallow,2019,https://boxd.it/lA0i,"2019 - Tribeca and several other smaller festivals.
2020 - Already US released"
7,Bull,2019,https://boxd.it/lXzA,"2019 - Cannes
2020 - Already released (Hulu)"
8,La Llorona,2019,https://boxd.it/mQqe,2019 - Venice and TIFF
9,Bad Education,2019,https://boxd.it/jiME,"2019 - TIFF and London FF.
2020 - Already US released"
