Letterboxd list export v7
Date,Name,Tags,URL,Description
2021-01-22,2021 anticipation,,https://boxd.it/aWTZK,"A list of every film in 2021 I'm excited to see or plan on seeing. Not every film I'm looking forward to has a slated release, so it's incomplete for the time being. Sorted by release date (check notes to see order)
Also I'm not going to remove films as I see them, as I want to look back on this in the future and go, ""Yeah... 2021 was a good year for film."""

Position,Name,Year,URL,Description
1,The White Tiger,2021,https://boxd.it/nhg6,January 22
2,The Dig,2021,https://boxd.it/jo2i,January 29
3,Prisoners of the Ghostland,2021,https://boxd.it/j0NY,January 31 (Sundance)
4,Malcolm & Marie,2021,https://boxd.it/r5cO,February 5
5,Judas and the Black Messiah,2021,https://boxd.it/lsew,February 12
6,Land,2021,https://boxd.it/m5b2,February 12
7,The Mauritanian,2021,https://boxd.it/nWiM,February 19
8,Cherry,2021,https://boxd.it/jRhm,February 26
9,Raya and the Last Dragon,2021,https://boxd.it/jbkI,March 5
10,French Exit,2020,https://boxd.it/m81Y,April 2
11,Shiva Baby,2020,https://boxd.it/oIv0,April 2
12,WeWork: or The Making and Breaking of a $47 Billion Unicorn,2021,https://boxd.it/tVqi,April 2
13,Voyagers,2021,https://boxd.it/m2qo,April 9
14,Gunda,2020,https://boxd.it/oJuC,April 16
15,Philly D.A.,2021,https://boxd.it/w2UI,April 20
16,About Endlessness,2019,https://boxd.it/bHua,April 30
17,Mainstream,2020,https://boxd.it/kpDc,May 7
18,Spiral: From the Book of Saw,2021,https://boxd.it/meXk,<p>May 14</p>
19,The Woman in the Window,2021,https://boxd.it/iT56,May 14
20,Army of the Dead,2021,https://boxd.it/ic7S,May 21
21,Seance,2021,https://boxd.it/nOn0,May 21
22,Sound of Violence,2021,https://boxd.it/sNuO,May 21
23,Cruella,2021,https://boxd.it/bbKg,May 28
24,A Quiet Place Part II,2020,https://boxd.it/iTx0,May 28
25,The Conjuring: The Devil Made Me Do It,2021,https://boxd.it/eXZY,June 4
26,In the Heights,2021,https://boxd.it/gLhu,June 11
