Letterboxd list export v7
Date,Name,Tags,URL,Description
2021-04-13,2021 new watches ranked,"rankings, yearly new watches",https://boxd.it/bM33e,"Just what the title says.


I think I'm gonna create a list directory sometime soon since I have so many and am definitely going to forget about some that I should be updating."

Position,Name,Year,URL,Description
1,Short Term 12,2013,https://boxd.it/5f6s,
2,Spirited Away,2001,https://boxd.it/2b4m,
3,Inside Llewyn Davis,2013,https://boxd.it/34Ro,
4,Columbus,2017,https://boxd.it/eCuA,
5,It Comes at Night,2017,https://boxd.it/eLuk,
6,Boyz n the Hood,1991,https://boxd.it/29Ug,
7,The Pianist,2002,https://boxd.it/2aqc,
8,Satantango,1994,https://boxd.it/1j9M,
9,The Wrestler,2008,https://boxd.it/1So8,
10,Writing with Fire,2021,https://boxd.it/tbl2,
11,Battleship Potemkin,1925,https://boxd.it/29Vo,
12,The Father,2020,https://boxd.it/m8Ie,
13,Amélie,2001,https://boxd.it/2aUc,
14,Mishima: A Life in Four Chapters,1985,https://boxd.it/1sBA,
15,The Revenant,2015,https://boxd.it/8H5e,
16,Chinatown,1974,https://boxd.it/29vU,
17,Babel,2006,https://boxd.it/292o,
18,Promising Young Woman,2020,https://boxd.it/loRE,
19,Barton Fink,1991,https://boxd.it/2aFQ,
20,We Need to Talk About Kevin,2011,https://boxd.it/2pTS,
21,The Florida Project,2017,https://boxd.it/dMG0,
22,Amores Perros,2000,https://boxd.it/2bfu,
23,Häxan,1922,https://boxd.it/n4O,
24,"Paris, Texas",1984,https://boxd.it/29Ts,
25,American Graffiti,1973,https://boxd.it/29us,
26,Joint Security Area,2000,https://boxd.it/26Ja,
27,Judas and the Black Messiah,2021,https://boxd.it/lsew,
28,Red Beard,1965,https://boxd.it/251m,
29,Buffalo '66,1998,https://boxd.it/1YC6,
30,Werckmeister Harmonies,2000,https://boxd.it/1zzw,
31,Never Rarely Sometimes Always,2020,https://boxd.it/lWJk,
32,Prisoners of the Ghostland,2021,https://boxd.it/j0NY,
33,CODA,2021,https://boxd.it/tbf4,
34,Burn After Reading,2008,https://boxd.it/23BW,
35,Uncut Gems,2019,https://boxd.it/gXGc,
36,Pi,1998,https://boxd.it/2ajq,
37,This Film Is Not Yet Rated,2006,https://boxd.it/1KTs,
38,Paris Is Burning,1990,https://boxd.it/1jzg,
39,The Big Lebowski,1998,https://boxd.it/2b6C,
40,Cries and Whispers,1972,https://boxd.it/1WK8,
41,A Serious Man,2009,https://boxd.it/1RFW,
42,Miller's Crossing,1990,https://boxd.it/2avG,
43,"All Light, Everywhere",2021,https://boxd.it/l5q0,
44,Us,2019,https://boxd.it/gnV6,
45,House,1977,https://boxd.it/1vsm,
46,Viridiana,1961,https://boxd.it/24eE,
47,Night of the Kings,2020,https://boxd.it/oAm0,
48,Certain Women,2016,https://boxd.it/bk7W,
49,Prime Time,2021,https://boxd.it/rYeU,
50,No Country for Old Men,2007,https://boxd.it/21ew,
51,First Cow,2019,https://boxd.it/krga,
52,Mystery Train,1989,https://boxd.it/1Ub6,
53,Raising Arizona,1987,https://boxd.it/2avQ,
54,The Road to the Racetrack,1991,https://boxd.it/6sGU,
55,2 or 3 Things I Know About Her,1967,https://boxd.it/20Am,
56,The Forty-Year-Old Version,2020,https://boxd.it/mYXq,
57,Strawberry Mansion,2021,https://boxd.it/tblG,
58,Blood Simple,1984,https://boxd.it/1U16,
59,Possessor,2020,https://boxd.it/fsJW,
60,21 Grams,2003,https://boxd.it/2ajK,
61,Land,2021,https://boxd.it/m5b2,
62,Censor,2021,https://boxd.it/oHFS,
63,Ad Astra,2019,https://boxd.it/ePzI,
64,Rush Hour,1998,https://boxd.it/27pU,
65,The Ladykillers,2004,https://boxd.it/22Z4,
66,The Blazing World,2021,https://boxd.it/tbmO,
67,Intolerable Cruelty,2003,https://boxd.it/1T7i,
68,The Pink Cloud,2021,https://boxd.it/tbjA,
69,2016: Obama's America,2012,https://boxd.it/49kG,
70,Shadow in the Cloud,2020,https://boxd.it/pah6,
