Letterboxd list export v7
Date,Name,Tags,URL,Description
2022-07-15,2023 hype,,https://boxd.it/hodm2,I love movies

Position,Name,Year,URL,Description
1,Oppenheimer,2023,https://boxd.it/wUow,
2,Beau Is Afraid,2023,https://boxd.it/u2gE,
3,Asteroid City,2023,https://boxd.it/s3ds,
4,The Wonderful Story of Henry Sugar,2023,https://boxd.it/yNyo,
5,The Zone of Interest,2023,https://boxd.it/gJsA,
6,Poor Things,2023,https://boxd.it/tNWU,
7,Megalopolis,2024,https://boxd.it/lPBS,
8,Ferrari,2023,https://boxd.it/cEtq,
9,The Way of the Wind,,https://boxd.it/mqE0,
10,Dune: Part Two,2024,https://boxd.it/pUfA,
11,Challengers,2024,https://boxd.it/zld0,
12,Blitz,2024,https://boxd.it/xR8i,
13,May December,2023,https://boxd.it/vEE2,
14,The Holdovers,2023,https://boxd.it/vHza,
15,About Dry Grasses,2023,https://boxd.it/oNbO,
16,Emilia Pérez,2024,https://boxd.it/AP3G,
17,Barbie,2023,https://boxd.it/bCLK,
18,Mickey 17,2025,https://boxd.it/q1Dk,
19,Knock at the Cabin,2023,https://boxd.it/npL2,
20,Gladiator II,2024,https://boxd.it/kqQQ,
21,The Brutalist,2024,https://boxd.it/k4BO,
22,Indiana Jones and the Dial of Destiny,2023,https://boxd.it/b8vM,
23,Elemental,2023,https://boxd.it/ASiE,
24,The Old Oak,2023,https://boxd.it/AEng,
25,Love Lies Bleeding,2024,https://boxd.it/zN4q,
26,Civil War,2024,https://boxd.it/z1jW,
