Letterboxd list export v7
Date,Name,Tags,URL,Description
2023-07-03,Comfort Moviefilms,,https://boxd.it/nDgic,Movies that remind me things aren't so bad

Position,Name,Year,URL,Description
1,Columbus,2017,https://boxd.it/eCuA,
2,Chungking Express,1994,https://boxd.it/1UDa,
3,Punch-Drunk Love,2002,https://boxd.it/20E4,
4,Everything Everywhere All at Once,2022,https://boxd.it/jUk4,
5,Spirited Away,2001,https://boxd.it/2b4m,
6,Kiki's Delivery Service,1989,https://boxd.it/1JAY,
7,Past Lives,2023,https://boxd.it/oNB8,
8,Short Term 12,2013,https://boxd.it/5f6s,
9,American Graffiti,1973,https://boxd.it/29us,
10,Dazed and Confused,1993,https://boxd.it/1Ylk,
11,Police Story,1985,https://boxd.it/1Zhe,
12,The Lord of the Rings: The Fellowship of the Ring,2001,https://boxd.it/2b5O,
13,Wallace & Gromit: The Curse of the Were-Rabbit,2005,https://boxd.it/2ac0,
14,The Tree of Life,2011,https://boxd.it/1Zu8,
15,The Royal Tenenbaums,2001,https://boxd.it/1YHU,
16,Minari,2020,https://boxd.it/mL9M,
17,Star Wars,1977,https://boxd.it/72s,
18,The Empire Strikes Back,1980,https://boxd.it/27Vw,
19,Return of the Jedi,1983,https://boxd.it/27Vm,
20,Paterson,2016,https://boxd.it/cRk2,
21,It's a Wonderful Life,1946,https://boxd.it/28xA,
22,The Incredibles,2004,https://boxd.it/1XLm,
23,Monty Python and the Holy Grail,1975,https://boxd.it/29GI,
24,Indiana Jones and the Last Crusade,1989,https://boxd.it/2baO,
25,The Meyerowitz Stories (New and Selected),2017,https://boxd.it/dSp0,
