Letterboxd list export v7
Date,Name,Tags,URL,Description
2022-08-27,Favorites List (9/10s after the top 100),,https://boxd.it/i1vcW,1-30 is ranked

Position,Name,Year,URL,Description
1,Anomalisa,2015,https://boxd.it/97TE,
2,Get Out,2017,https://boxd.it/eOCm,
3,Stalker,1979,https://boxd.it/28PO,
4,Amélie,2001,https://boxd.it/2aUc,
5,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/6YK,
6,Wendy and Lucy,2008,https://boxd.it/1Zx2,
7,Hiroshima Mon Amour,1959,https://boxd.it/22WY,
8,Mishima: A Life in Four Chapters,1985,https://boxd.it/1sBA,
9,Full Metal Jacket,1987,https://boxd.it/2a1Q,
10,Terminator 2: Judgment Day,1991,https://boxd.it/2aGY,
11,Y Tu Mamá También,2001,https://boxd.it/28QM,
12,The Incredibles,2004,https://boxd.it/1XLm,
13,Shame,1968,https://boxd.it/1tZo,
14,"Paris, Texas",1984,https://boxd.it/29Ts,
15,The Godfather,1972,https://boxd.it/2aNK,
16,Paths of Glory,1957,https://boxd.it/29b6,
17,Unbreakable,2000,https://boxd.it/1XV2,
18,Babel,2006,https://boxd.it/292o,
19,Police Story,1985,https://boxd.it/1Zhe,
20,Scream,1996,https://boxd.it/24EC,
21,The Fly,1986,https://boxd.it/1YIe,
22,Pan's Labyrinth,2006,https://boxd.it/28No,
23,Alien,1979,https://boxd.it/2awY,
24,Life Itself,2014,https://boxd.it/7lqC,
25,The Ascent,1977,https://boxd.it/Eew,
26,Being John Malkovich,1999,https://boxd.it/2ahu,
27,Sympathy for Mr. Vengeance,2002,https://boxd.it/23WU,
28,Bicycle Thieves,1948,https://boxd.it/23hW,
29,Do the Right Thing,1989,https://boxd.it/29gA,
30,Santa Sangre,1989,https://boxd.it/1FrI,
31,"Good Luck to You, Leo Grande",2022,https://boxd.it/stYk,
32,Nomadland,2020,https://boxd.it/lnRy,
33,Taxi Driver,1976,https://boxd.it/2b8y,
34,Melancholia,2011,https://boxd.it/bPI,
35,The Grand Budapest Hotel,2014,https://boxd.it/3ZqO,
36,Another Round,2020,https://boxd.it/lkba,
37,It Comes at Night,2017,https://boxd.it/eLuk,
38,My Dinner with Andre,1981,https://boxd.it/1vLe,
39,Pain and Glory,2019,https://boxd.it/iOBQ,
40,Mirai,2018,https://boxd.it/h2Hu,
41,The Irishman,2019,https://boxd.it/dYOq,
42,Knives Out,2019,https://boxd.it/jWEA,
43,The World of Us,2016,https://boxd.it/dpeC,
44,Little Women,2019,https://boxd.it/aSVk,
45,The Lighthouse,2019,https://boxd.it/icFU,
46,Suspiria,2018,https://boxd.it/cioI,
47,Black Mirror: Fifteen Million Merits,2011,https://boxd.it/hQYU,
48,The Salesman,2016,https://boxd.it/d2we,
49,The Forest of Love,2019,https://boxd.it/nqbk,
50,The Shape of Water,2017,https://boxd.it/dZ5m,
51,Dick Johnson Is Dead,2020,https://boxd.it/oigy,
52,Mad God,2021,https://boxd.it/vVPm,
53,Judas and the Black Messiah,2021,https://boxd.it/lsew,
54,Klondike,2022,https://boxd.it/yoLC,
55,Petite Maman,2021,https://boxd.it/s6je,
56,The Lost Daughter,2021,https://boxd.it/kgww,
57,Persona,1966,https://boxd.it/29B4,
58,The Batman,2022,https://boxd.it/eDGs,
59,12 Years a Slave,2013,https://boxd.it/2D2e,
60,Where Is the Friend's House?,1987,https://boxd.it/ELg,
61,Climax,2018,https://boxd.it/ikvo,
62,Marcel the Shell with Shoes On,2021,https://boxd.it/wMAk,
