Letterboxd list export v7
Date,Name,Tags,URL,Description
2022-05-09,GARY INSPO WATCHLIST (Two Lost Souls Find Comfort),suggestions,https://boxd.it/gw0pa,

Position,Name,Year,URL,Description
1,Tyrannosaur,2011,https://boxd.it/2DUA,
2,Chungking Express,1994,https://boxd.it/1UDa,
3,When Marnie Was There,2014,https://boxd.it/78pm,
4,"I'm a Cyborg, But That's OK",2006,https://boxd.it/2328,
5,Carol,2015,https://boxd.it/7DPK,
6,Let the Right One In,2008,https://boxd.it/1Qr0,
7,A Silent Voice: The Movie,2016,https://boxd.it/d99c,
8,Moonlight,2016,https://boxd.it/d6bE,
9,The Garden of Words,2013,https://boxd.it/5Ymq,
10,The Handmaiden,2016,https://boxd.it/948A,
11,Punch-Drunk Love,2002,https://boxd.it/20E4,
12,Anomalisa,2015,https://boxd.it/97TE,
13,First Reformed,2017,https://boxd.it/go9C,
14,Rust and Bone,2012,https://boxd.it/3mDE,
15,Never Let Me Go,2010,https://boxd.it/Xw0,
16,Mary and Max,2009,https://boxd.it/1y2m,
17,Columbus,2017,https://boxd.it/eCuA,
18,Liz and the Blue Bird,2018,https://boxd.it/hksW,
19,Castaway on the Moon,2009,https://boxd.it/1GXU,
20,The Lunchbox,2013,https://boxd.it/5MOs,
21,Brokeback Mountain,2005,https://boxd.it/2b2q,
22,Silver Linings Playbook,2012,https://boxd.it/2TTo,
23,Old Joy,2006,https://boxd.it/1tIW,
24,Certain Women,2016,https://boxd.it/bk7W,
25,The Perks of Being a Wallflower,2012,https://boxd.it/2ZA8,
26,Begin Again,2013,https://boxd.it/5Ybs,
27,Before Sunrise,1995,https://boxd.it/2bcU,
28,Before Sunset,2004,https://boxd.it/2bcg,
29,Swiss Army Man,2016,https://boxd.it/bDG2,
30,Can You Ever Forgive Me?,2018,https://boxd.it/e7x4,
31,Novitiate,2017,https://boxd.it/ewpa,
32,The Disaster Artist,2017,https://boxd.it/cTqc,
33,The Karate Kid,1984,https://boxd.it/27Wk,
34,Her,2013,https://boxd.it/4O24,
35,"Comrades, Almost a Love Story",1996,https://boxd.it/18QU,
36,Buffalo '66,1998,https://boxd.it/1YC6,
37,Blue Gate Crossing,2002,https://boxd.it/RhS,
38,Last Life in the Universe,2003,https://boxd.it/1Tri,
39,Rainbow Song,2006,https://boxd.it/PKI,
40,Once,2007,https://boxd.it/22GG,
41,The Mourning Forest,2007,https://boxd.it/27DM,
42,Pieta in the Toilet,2015,https://boxd.it/beGm,
43,"Right Now, Wrong Then",2015,https://boxd.it/bWs4,
44,Edward Scissorhands,1990,https://boxd.it/2aZc,
45,Pride & Prejudice,2005,https://boxd.it/24u8,
46,Submarine,2010,https://boxd.it/H4a,
47,Us and Them,2018,https://boxd.it/ip3a,
48,Picnic,1996,https://boxd.it/10HU,
49,Head-On,2004,https://boxd.it/2awk,
50,The Apartment,1960,https://boxd.it/2aGE,
51,All That Heaven Allows,1955,https://boxd.it/UNi,
52,Brief Encounter,1945,https://boxd.it/29sm,
53,"Now, Voyager",1942,https://boxd.it/1gvq,
54,An Affair to Remember,1957,https://boxd.it/20is,
55,The Graduate,1967,https://boxd.it/18Im,
