Letterboxd list export v7
Date,Name,Tags,URL,Description
2020-05-27,How to Watch a Movie,,https://boxd.it/5Cv6Q,Every movie mentioned in the book How to Watch a Movie by David Thomson. Enjoy!

Position,Name,Year,URL,Description
1,The Maltese Falcon,1941,https://boxd.it/29c4,
2,The Third Man,1949,https://boxd.it/294E,
3,Blow-Up,1966,https://boxd.it/2966,
4,Persona,1966,https://boxd.it/29B4,
5,Magnolia,1999,https://boxd.it/2aze,
6,Amour,2012,https://boxd.it/34Q6,
7,Bonnie and Clyde,1967,https://boxd.it/2ajg,
8,Way Down East,1920,https://boxd.it/1iWo,
9,Sunrise: A Song of Two Humans,1927,https://boxd.it/29Xk,
10,City Lights,1931,https://boxd.it/29ki,
11,Casablanca,1942,https://boxd.it/2aG0,
12,Out of the Past,1947,https://boxd.it/29PK,
13,Gone Girl,2014,https://boxd.it/6hQu,
14,Vertigo,1958,https://boxd.it/2apI,
15,L'Avventura,1960,https://boxd.it/23hs,
16,Chinatown,1974,https://boxd.it/29vU,
17,That Obscure Object of Desire,1977,https://boxd.it/22zg,
18,Sullivan's Travels,1941,https://boxd.it/1Ko0,
19,The Shop Around the Corner,1940,https://boxd.it/1DFy,
20,The Lady Eve,1941,https://boxd.it/25LY,
21,His Girl Friday,1940,https://boxd.it/25M8,
22,To Have and Have Not,1944,https://boxd.it/1Am4,
23,The Letter,1940,https://boxd.it/1I3Y,
24,Laura,1944,https://boxd.it/27Oq,
25,Meet Me in St. Louis,1944,https://boxd.it/29j0,
26,Henry V,1944,https://boxd.it/1Agq,
27,"Rome, Open City",1945,https://boxd.it/2aD6,
28,Children of Paradise,1945,https://boxd.it/26H4,
29,The Life and Death of Colonel Blimp,1943,https://boxd.it/1wwk,
30,Les Dames du bois de Boulogne,1945,https://boxd.it/F3k,
31,Citizen Kane,1941,https://boxd.it/71O,
32,Night Will Fall,2014,https://boxd.it/96ha,
33,Triumph of the Will,1935,https://boxd.it/145A,
