Letterboxd list export v7
Date,Name,Tags,URL,Description
2020-06-05,Hugo Award for Best Dramatic Presentation,,https://boxd.it/5GtPs,Every movie in order that has won the Hugo Award for Best Dramatic Presentation.

Position,Name,Year,URL,Description
1,The Incredible Shrinking Man,1957,https://boxd.it/1ixS,
2,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,https://boxd.it/29eY,
3,2001: A Space Odyssey,1968,https://boxd.it/2bf0,
4,A Clockwork Orange,1971,https://boxd.it/2aVE,
5,Slaughterhouse-Five,1972,https://boxd.it/1xrU,
6,Sleeper,1973,https://boxd.it/1Tye,
7,Young Frankenstein,1974,https://boxd.it/25To,
8,A Boy and His Dog,1975,https://boxd.it/23FO,
9,Star Wars,1977,https://boxd.it/72s,
10,Superman,1978,https://boxd.it/27Qm,
11,Alien,1979,https://boxd.it/2awY,
12,The Empire Strikes Back,1980,https://boxd.it/27Vw,
13,Raiders of the Lost Ark,1981,https://boxd.it/2bbs,
14,Blade Runner,1982,https://boxd.it/2bcA,
15,Return of the Jedi,1983,https://boxd.it/27Vm,
16,2010: The Year We Make Contact,1984,https://boxd.it/24lK,
17,Back to the Future,1985,https://boxd.it/2b8e,
18,Aliens,1986,https://boxd.it/29PA,
19,The Princess Bride,1987,https://boxd.it/26EY,
20,Who Framed Roger Rabbit,1988,https://boxd.it/29ry,
21,Indiana Jones and the Last Crusade,1989,https://boxd.it/2baO,
22,Edward Scissorhands,1990,https://boxd.it/2aZc,
23,Terminator 2: Judgment Day,1991,https://boxd.it/2aGY,
24,Jurassic Park,1993,https://boxd.it/2aA2,
25,Contact,1997,https://boxd.it/29OM,
26,The Truman Show,1998,https://boxd.it/18U8,
27,Galaxy Quest,1999,https://boxd.it/29gq,
28,"Crouching Tiger, Hidden Dragon",2000,https://boxd.it/2b1M,
29,The Lord of the Rings: The Fellowship of the Ring,2001,https://boxd.it/2b5O,
30,The Lord of the Rings: The Two Towers,2002,https://boxd.it/2b5E,
31,The Lord of the Rings: The Return of the King,2003,https://boxd.it/2b5u,
32,The Incredibles,2004,https://boxd.it/1XLm,
33,Serenity,2005,https://boxd.it/1Km4,
34,Pan's Labyrinth,2006,https://boxd.it/28No,
35,Stardust,2007,https://boxd.it/272w,
36,WALL·E,2008,https://boxd.it/1VEo,
37,Moon,2009,https://boxd.it/1IGQ,
38,Inception,2010,https://boxd.it/1skk,
39,The Avengers,2012,https://boxd.it/1xFW,
40,Gravity,2013,https://boxd.it/GZY,
41,Guardians of the Galaxy,2014,https://boxd.it/3VH2,
42,The Martian,2015,https://boxd.it/8SeG,
43,Arrival,2016,https://boxd.it/aNGk,
44,Wonder Woman,2017,https://boxd.it/9roG,
45,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/azpY,
