Letterboxd list export v7
Date,Name,Tags,URL,Description
2022-11-15,Looking forward to 2023,,https://boxd.it/j7Tc8,"Films I’m actively going to seek out next year.

Plus <a href=""https://www.worldofreel.com/blog/2022/12/bhful15ig0e9a7yl103pixzx0801z6"" rel=""nofollow"">this entire list</a>."

Position,Name,Year,URL,Description
1,Showing Up,2022,https://boxd.it/tJ1q,"April 7th

KELLY REICHARDT, LADIES AND GENTLEMEN"
2,Sick of Myself,2022,https://boxd.it/tEzs,"April 21st

2022 rollover"
3,Master Gardener,2022,https://boxd.it/wNuC,"May 19th

New Paul Schrader that's not actually coming out until next year"
4,Asteroid City,2023,https://boxd.it/s3ds,"June 16th

Wesley Anderson"
5,Indiana Jones and the Dial of Destiny,2023,https://boxd.it/b8vM,"June 30th

Please be good omg (I don't have a ton of hope)"
6,Oppenheimer,2023,https://boxd.it/wUow,"July 21st

I don't expect a masterpiece but I'll at least get some absolutely sick filmmaking and maybe a good story"
7,Barbie,2023,https://boxd.it/bCLK,"July 21st

I mean yeah"
8,Challengers,2024,https://boxd.it/zld0,"August 11th

Marone"
9,Dune: Part Two,2024,https://boxd.it/pUfA,"November 3rd

Scientology fiction"
10,The Killer,2023,https://boxd.it/u6WE,"November 10th

David Fincher’s first good film since 2014 and Michael Fassbender’s first good role since 2015? Abso-fucking-lutely."
11,Bottoms,2023,https://boxd.it/uGf2,DUHHHHHHH
12,Poor Things,2023,https://boxd.it/tNWU,Yorgos is awesome
13,Monster,2023,https://boxd.it/DJEM,Kore-eda! Yay!
14,Killers of the Flower Moon,2023,https://boxd.it/gHp0,"Not expecting a new all-time favorite, but it'll be a filmmaking masterclass and possibly provide some great representation (please have a good focus on the Native American characters)"
15,Hit Man,2023,https://boxd.it/ANB2,Cool!
16,Love Lies Bleeding,2024,https://boxd.it/zN4q,Saint Maud 2
17,Civil War,2024,https://boxd.it/z1jW,<p>Good Sci-Fi? <i>Men</i> Sci-Fi? idk</p>
18,The Boy and the Heron,2023,https://boxd.it/ipeM,I am wholly expecting a masterpiece PLEASE
19,The Eight Mountains,2022,https://boxd.it/ufRe,Cannes 2022 rollover
20,War Pony,2022,https://boxd.it/Alzi,2022 rollover
21,Medusa Deluxe,2022,https://boxd.it/zhsK,2022 rollover
22,Fancy Dance,2023,https://boxd.it/E30s,Sundance movie that sounds awesome
23,Mutt,2023,https://boxd.it/Dr00,Sundance movie that sounds awesome
24,Talk to Me,2022,https://boxd.it/C6uQ,RackaRacka is a YouTube channel I discovered way too young but it left a pretty big mark on me in middle school and high school. Can't wait for their debut!!
25,Birth/Rebirth,2023,https://boxd.it/E34E,"The theater that played this at Sundance was <a href=""https://www.worldofreel.com/blog/2023/1/g6ez149x0gyaz0ik0um6ah66qqmo8a"">evacuated</a> because people there kept getting sick. This sounds insane."
26,A Good Person,2023,https://boxd.it/u8sw,I like trains
27,Cat Person,2023,https://boxd.it/vOkw,Sundance
28,Theater Camp,2023,https://boxd.it/Bfbm,Sundance
29,Magazine Dreams,2023,https://boxd.it/tv1w,Jonathan Majors!!
30,Subtraction,2022,https://boxd.it/C69o,It played at Siskel for two days and I missed it. And it sounds fascinating. WHEN WILL IT BE STREAMING!?!?
31,Beyond Utopia,2023,https://boxd.it/Eu34,
32,Fairyland,2023,https://boxd.it/BIcS,
33,Remember This,2022,https://boxd.it/CNjQ,
34,Problemista,2023,https://boxd.it/waGO,
35,Americana,2023,https://boxd.it/zdXO,
36,Omen,2023,https://boxd.it/xAPO,
37,Fallen Leaves,2023,https://boxd.it/Bgew,
38,The Feeling That the Time for Doing Something Has Passed,2023,https://boxd.it/E4Zw,
39,Anatomy of a Fall,2023,https://boxd.it/yuDE,
40,The Zone of Interest,2023,https://boxd.it/gJsA,
41,Four Daughters,2023,https://boxd.it/ErTw,
42,How to Have Sex,2023,https://boxd.it/EFIM,
43,The Taste of Things,2023,https://boxd.it/Arke,
