Letterboxd list export v7
Date,Name,Tags,URL,Description
2021-12-28,Movies that make me hate movies,,https://boxd.it/ezsiu,"You know how some people say they watch movies and are reminded why they love the medium so much? This list is for movies that make me feel the opposite of that (in no particular order)

Alternate list title: Extremely Frustrating Watches"

Position,Name,Year,URL,Description
1,mother!,2017,https://boxd.it/dgRU,
2,Licorice Pizza,2021,https://boxd.it/qTKY,
3,Benedetta,2021,https://boxd.it/gdNQ,
4,Disturbia,2007,https://boxd.it/20rk,
5,Lamb,2021,https://boxd.it/tFwE,
6,Music,2021,https://boxd.it/lyEK,
7,Fight Club,1999,https://boxd.it/2a9q,
