Letterboxd list export v7
Date,Name,Tags,URL,Description
2020-07-15,My DVD Collection,not a ranking,https://boxd.it/7p2Sy,"I'm starting a DVD collection, so here is every one I own in order of when I bought them."

Position,Name,Year,URL,Description
1,Transformers,2007,https://boxd.it/280c,
2,Transformers: Revenge of the Fallen,2009,https://boxd.it/20gG,
3,Transformers: Dark of the Moon,2011,https://boxd.it/16aC,
4,Transformers: Age of Extinction,2014,https://boxd.it/3d1m,
5,The Terminator,1984,https://boxd.it/2aQY,
6,Terminator 2: Judgment Day,1991,https://boxd.it/2aGY,
7,Terminator 3: Rise of the Machines,2003,https://boxd.it/2aES,
8,Jaws,1975,https://boxd.it/2a5e,
9,The Abyss,1989,https://boxd.it/26mK,
10,Blinded by the Light,2019,https://boxd.it/jrYO,
11,Gravity,2013,https://boxd.it/GZY,
12,Birdman or (The Unexpected Virtue of Ignorance),2014,https://boxd.it/5RFA,
13,Mad Max: Fury Road,2015,https://boxd.it/2DjO,
14,2001: A Space Odyssey,1968,https://boxd.it/2bf0,
15,RoboCop,1987,https://boxd.it/22Wu,
16,GoodFellas,1990,https://boxd.it/29FA,
17,The Departed,2006,https://boxd.it/28MA,
18,Mean Streets,1973,https://boxd.it/2aSU,
19,The Aviator,2004,https://boxd.it/26BU,
20,300: Rise of an Empire,2014,https://boxd.it/xaC,
21,Batman,1989,https://boxd.it/2aIU,
22,Batman Returns,1992,https://boxd.it/2awa,
23,Batman Forever,1995,https://boxd.it/2ara,
24,Batman & Robin,1997,https://boxd.it/2ar0,
25,The Godfather,1972,https://boxd.it/2aNK,
26,The Godfather Part II,1974,https://boxd.it/2aNq,
27,The Godfather Part III,1990,https://boxd.it/2aN6,
28,Children of Men,2006,https://boxd.it/1Y2i,
29,Crash,2004,https://boxd.it/28q0,
30,"Crouching Tiger, Hidden Dragon",2000,https://boxd.it/2b1M,
31,District 9,2009,https://boxd.it/1Iik,
32,American Beauty,1999,https://boxd.it/71Y,
33,Reservoir Dogs,1992,https://boxd.it/2agc,
34,Pulp Fiction,1994,https://boxd.it/29Pq,
35,Kill Bill: Vol. 1,2003,https://boxd.it/70w,
36,Kill Bill: Vol. 2,2004,https://boxd.it/2au4,
37,Alien,1979,https://boxd.it/2awY,
38,Aliens,1986,https://boxd.it/29PA,
39,Alien³,1992,https://boxd.it/20zS,
40,Memento,2000,https://boxd.it/2bcK,
41,North by Northwest,1959,https://boxd.it/2aRM,
42,Batman Begins,2005,https://boxd.it/2aIg,
43,The Dark Knight,2008,https://boxd.it/2b0k,
44,The Dark Knight Rises,2012,https://boxd.it/H3m,
45,Clockers,1995,https://boxd.it/1D7w,
46,Do the Right Thing,1989,https://boxd.it/29gA,
47,Jungle Fever,1991,https://boxd.it/28fG,
48,Mo' Better Blues,1990,https://boxd.it/Yrq,
49,Crooklyn,1994,https://boxd.it/1efg,
50,Hoop Dreams,1994,https://boxd.it/1Opc,
51,Fargo,1996,https://boxd.it/2aHM,
52,There Will Be Blood,2007,https://boxd.it/20Z2,
53,Whiplash,2014,https://boxd.it/7bQA,
54,Titanic,1997,https://boxd.it/2a2k,
55,True Lies,1994,https://boxd.it/19pq,
56,Hot Fuzz,2007,https://boxd.it/2416,
57,Full Metal Jacket,1987,https://boxd.it/2a1Q,
58,Magnolia,1999,https://boxd.it/2aze,
59,Mad Max,1979,https://boxd.it/1Y7i,
60,Death Proof,2007,https://boxd.it/27GG,
61,Hereditary,2018,https://boxd.it/hNVe,
62,Blade Runner,1982,https://boxd.it/2bcA,
63,Blade Runner 2049,2017,https://boxd.it/b8wK,
