Letterboxd list export v7
Date,Name,Tags,URL,Description
2021-03-24,. ,,https://boxd.it/byBoM,

Position,Name,Year,URL,Description
1,Adaptation.,2002,https://boxd.it/26mA,
2,Akira,1988,https://boxd.it/2b1i,
3,Black Swan,2010,https://boxd.it/Sw0,
4,City of God,2002,https://boxd.it/2a2a,
5,The Hunt,2012,https://boxd.it/3wEC,
6,It's Such a Beautiful Day,2012,https://boxd.it/hCY2,
7,Kill Bill: Vol. 1,2003,https://boxd.it/70w,
8,Minari,2020,https://boxd.it/mL9M,
9,Paterson,2016,https://boxd.it/cRk2,
10,Paths of Glory,1957,https://boxd.it/29b6,
11,Shame,2011,https://boxd.it/2CxU,
12,Short Term 12,2013,https://boxd.it/5f6s,
13,"Synecdoche, New York",2008,https://boxd.it/23zw,
