Letterboxd list export v7
Date,Name,Tags,URL,Description
2021-12-09,Oscar Bait Hall of Shame,,https://boxd.it/eiPom,"Ranking the films I've seen that got nominated in at least one of the big Academy Award categories that I don't like.


Note - the first film considered to be true ""Oscar bait"" was The Deer Hunter in 1978, so I'm only including films from then on to save myself the pointless effort.

I've done pretty good with avoiding Oscar bait BS so this list is a lot shorter than I thought"

Position,Name,Year,URL,Description
1,21 Grams,2003,https://boxd.it/2ajK,
2,Being the Ricardos,2021,https://boxd.it/iJQc,
3,Ford v Ferrari,2019,https://boxd.it/ce74,
4,Hillbilly Elegy,2020,https://boxd.it/lQmY,
5,Molly's Game,2017,https://boxd.it/dSl8,
6,The Post,2017,https://boxd.it/fTeG,
7,The Two Popes,2019,https://boxd.it/k8Xk,
8,The United States vs. Billie Holiday,2021,https://boxd.it/kKmQ,
9,Vice,2018,https://boxd.it/fcFY,
10,The White Tiger,2021,https://boxd.it/nhg6,
