Letterboxd list export v7
Date,Name,Tags,URL,Description
2022-05-28,Palme D'or Competition Watchlist,,https://boxd.it/gLfvM,"Films I'm going to watch in anticipation for the movies in the running for the Palme that I'm going to watch soon. Cannes is one of the most exciting times of the year for me, this is me channeling that energy into watching some movies that I've been saying I will for a while."

Position,Name,Year,URL,Description
1,The Immigrant,2013,https://boxd.it/4O2e,
2,Metropia,2009,https://boxd.it/19N8,
3,Shoplifters,2018,https://boxd.it/ifY6,
4,Girl,2018,https://boxd.it/iGU6,
5,The Fly,1986,https://boxd.it/1YIe,
6,"I'm a Cyborg, But That's OK",2006,https://boxd.it/2328,Debating between this and a rewatch of The Handmaiden. Either one would slay
7,Beautiful Boy,2018,https://boxd.it/g76Q,
8,Essential Killing,2010,https://boxd.it/IWs,
9,Border,2018,https://boxd.it/iMbG,
10,Graduation,2016,https://boxd.it/d0vI,
11,Night Moves,2013,https://boxd.it/4WFe,
12,Leto,2018,https://boxd.it/i9Tu,
13,Rosetta,1999,https://boxd.it/1TJw,
14,The Square,2017,https://boxd.it/e5YW,
