Letterboxd list export v7
Date,Name,Tags,URL,Description
2021-01-04,(Sort of) Director Rankings,,https://boxd.it/aJhpy,"I don't think this is actually my favorites list, but it's based on statistics.
For a director to qualify, I have to have seen at least 4 films from them. Placement is based off of average rating of all their movies, and the movie in this list is my favorite from each director. Okay? Okay."

Position,Name,Year,URL,Description
1,Parasite,2019,https://boxd.it/hTha,Average Bong rating: 8.75
2,Taxi Driver,1976,https://boxd.it/2b8y,Average Scorsese rating: 8.33
3,There Will Be Blood,2007,https://boxd.it/20Z2,Average P.T. Anderson rating: 8.125
4,A Clockwork Orange,1971,https://boxd.it/2aVE,Average Kubrick rating: 8
5,Ran,1985,https://boxd.it/1Tlu,Average Kurosawa rating: 8
6,Kill Bill: Vol. 1,2003,https://boxd.it/70w,<p>Average Tarantino rating: 7.9</p>
7,Children of Men,2006,https://boxd.it/1Y2i,Average Cuaron rating: 7.83
8,The Lord of the Rings: The Return of the King,2003,https://boxd.it/2b5u,Average Jackson rating: 7.8
9,Terminator 2: Judgment Day,1991,https://boxd.it/2aGY,Average Cameron rating: 7.75
10,Inside Llewyn Davis,2013,https://boxd.it/34Ro,Average Coen bros. rating: 7.66
11,Shame,2011,https://boxd.it/2CxU,Average McQueen rating: 7.5
12,"The Good, the Bad and the Ugly",1966,https://boxd.it/2ape,Average Leone rating: 7.2
13,Inception,2010,https://boxd.it/1skk,Average Nolan rating: 6.9
14,Gone Girl,2014,https://boxd.it/6hQu,Average Fincher rating: 6.54
15,Raiders of the Lost Ark,1981,https://boxd.it/2bbs,Average Spielberg rating: 6.5
16,Star Wars,1977,https://boxd.it/72s,Average Lucas rating: 4.25
17,Bad Boys,1995,https://boxd.it/1XVG,Average Bay rating: 3.33
