Letterboxd list export v7
Date,Name,Tags,URL,Description
2020-06-16,Summer Classic Movie Challenge,"rankings, challenge",https://boxd.it/5LzJ6,"Inspired by Karsten Runquist - I try to watch as many classic movies (I'm considering ""classic"" to be well-regarded films made in the 20th century) I haven't seen yet as I can over the course of the summer."

Position,Name,Year,URL,Description
1,A Clockwork Orange,1971,https://boxd.it/2aVE,
2,Full Metal Jacket,1987,https://boxd.it/2a1Q,
3,The Shining,1980,https://boxd.it/29Nu,
4,Citizen Kane,1941,https://boxd.it/71O,
5,Alien,1979,https://boxd.it/2awY,
6,2001: A Space Odyssey,1968,https://boxd.it/2bf0,
7,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,https://boxd.it/29eY,
8,Barry Lyndon,1975,https://boxd.it/25A2,
9,Eyes Wide Shut,1999,https://boxd.it/2axs,
10,Donnie Brasco,1997,https://boxd.it/1YRA,
11,Batman,1989,https://boxd.it/2aIU,
12,Lolita,1962,https://boxd.it/29Ag,
