Letterboxd list export v7
Date,Name,Tags,URL,Description
2021-01-08,Sundance Festival 2021 anticipation,,https://boxd.it/aMzLI,This list contains all 10 films I will be watching at the virtual Sundance Festival this year. Will be ranked once I get around to watching them (between January 28 and February 1)

Position,Name,Year,URL,Description
1,CODA,2021,https://boxd.it/tbf4,
2,The Pink Cloud,2021,https://boxd.it/tbjA,
3,Strawberry Mansion,2021,https://boxd.it/tblG,
4,Censor,2021,https://boxd.it/oHFS,
5,Prime Time,2021,https://boxd.it/rYeU,
6,Writing with Fire,2021,https://boxd.it/tbl2,
7,"All Light, Everywhere",2021,https://boxd.it/l5q0,
8,The Blazing World,2021,https://boxd.it/tbmO,
9,Prisoners of the Ghostland,2021,https://boxd.it/j0NY,
10,Night of the Kings,2020,https://boxd.it/oAm0,
