Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2020-03-01,A Wrinkle in Time,2018,https://boxd.it/10HnLX,1.5,Yes,"This movie was, from what I've read, intended to be a movie for colored and biracial girls, which is both a good and bad thing. It's good that Disney enjoys representing equality, and the positive messages are there. But it's really confusing most of the time, and the plot is either doing too much or too little. The script is really dry as well, and the child acting was disappointing compared to most other Disney movies. ",,2020-02-29
2020-03-25,The Dark Knight,2008,https://boxd.it/12OZc9,5,Yes,Watched again today because it's so fucking good. And it's leaving Netflix a week from today (SO WATCH IT NOW IF YOU HAVEN'T),,2020-03-24
2020-04-06,Spider-Man: Far From Home,2019,https://boxd.it/14eqjl,2.5,Yes,Peter Parker is a huge simp,,2020-04-05
2020-04-14,Portrait of a Lady on Fire,2019,https://boxd.it/15hKCn,4,,"I appreciate the art behind it and just how fuckin' well done it is, though it isn't really my kind of movie.",,2020-04-13
2020-05-05,Last Days of Coney Island,2015,https://boxd.it/17RjUJ,,,"Is this what a New York acid trip feels like?

I can't really put a number on it, as it's a short film that doesn't really have much of a premise. But I will say that it's a really bizarre art form; it definitely conveys that message that Coney Island is a really messed up place that's been around for a lot of 20th century US History, so it accomplishes what it was supposed to.

But undoubtedly the best part of this for me was Mark Taylor's music; I'm a huge jazz fan and Mark Taylor is a great artist, so hearing him write some old New York style tunes was really awesome.",,2020-05-04
2020-05-05,Extraction 2,2023,https://boxd.it/17UHJB,,,"He's planning a sequel this fast? Calling it now, he'll become the Michael Bay of the 2020s decade.",,
2020-05-12,Rhubarb,2020,https://boxd.it/18IjOx,,,"Karsten's videos inspired me to get into film so I was interested when I saw this on Instagram. The sound is amazing and the cinematography is very crisp so props on those things. The premise is simple enough, with the keychain, but not bad for a short film. Nice work overall, cool to see a short film from him!",,2020-05-11
2020-06-19,Stand Up Guys,2012,https://boxd.it/1cQSHD,2.5,,"I actually watched this last week but forgot to log it, if that says anything about it's quality. It exists.",tubi,2020-06-12
2020-07-03,Ran,1985,https://boxd.it/1eeELj,4.5,,"<a href=""https://letterboxd.com/joshmovie/list/spike-lees-95-films-ranked/"">Spike Lee's 95 Film Recommendations Ranked</a>

I might get crucified for this, but I do think this is a bit overrated. I'm not generally a lover of long period pieces, though I did enjoy Barry Lyndon (which is better than this). Yes it's visually beautiful, and yes the acting and writing are really good. The battle sequences were also pretty great and some of the most memorable in any period piece for me. They really do kick ass. But I lost interest fairly frequently (partially thanks to my ADHD and not being able to take movies like this) and I didn't take anything that serious out of it overall, despite being entertaining to watch. The characters aren't super dynamic or memorable either, aside from the beginning scenes. I was going to comment on the score not being as memorable, but come to think of it, I actually can't remember the scores of Rashomon or Yojimbo either, and I just saw those a couple days ago.

I'll be reading King Lear this year for school, so I'll definitely revisit the film after I read that. But for now, this is what I think of it.",internet archive,2020-07-02
2020-07-13,Bob le Flambeur,1956,https://boxd.it/1fkanx,3.5,,"Pretty fun movie. Good cinematography and thoughtful writing with well-developed characters and an intriguing premise. The score was also very good, feeling like an old Disney short, and it synchronized with what the film was doing very well. You can tell the director knew what he was doing, though it didn't really do much for me by the end. I kinda just said, ""That was fun... yeah!"" It's not a film that I think is worth writing a lot about; though it has a lot to say, it didn't really speak to me personally. I mainly watched this because Hard Eight was very inspired by it and I'm doing a PTA binge, but it was still a pretty good movie nonetheless. Though Hard Eight is an improvement over this IMO.

Edit: The director of this has two films in the LB Top 250 I see, so I'll definitely try to learn more about Jean-Pierre Melville in the future!",google play,2020-07-12
