Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2022-11-07,Star Wars: Episode I – The Phantom Menace,1999,https://boxd.it/3phI0H,,Yes,"amc naperville 16, 3D, w/ dad",2012-02-11
2023-11-17,The Avengers,2012,https://boxd.it/5aG5hv,,,"amc naperville 16, w/ dad, w/ mom, w/ quinn",2012-05-13
2024-07-23,Raiders of the Lost Ark,1981,https://boxd.it/6W4bnN,,Yes,"amc naperville 16, imax, w/ dad, w/ mom, w/ quinn",2012-09-08
2023-03-30,Who Framed Roger Rabbit,1988,https://boxd.it/434J6F,,,"car dvd / on a roadtrip, w/ quinn, dvd",2016-06-02
2023-04-19,Sing,2016,https://boxd.it/48BZC9,,,"showplace icon roosevelt, w/ dad, w/ mom, w/ quinn",2016-12-26
2023-04-19,Arrival,2016,https://boxd.it/48C02h,,,"amc woodridge 18, w/ dad, w/ mom, w/ quinn",2016-12-30
2022-11-10,Kong: Skull Island,2017,https://boxd.it/3pIA3H,,,"amc champaign 13, w/ dad, w/ mom, w/ quinn",2017-03-17
2022-11-10,Guardians of the Galaxy Vol. 2,2017,https://boxd.it/3pIAOX,,,"amc naperville 16, w/ dad, w/ mom, w/ quinn, imax",2017-05-20
2022-11-10,Pirates of the Caribbean: Dead Men Tell No Tales,2017,https://boxd.it/3pIAxR,,,"kendall 11, w/ dad, w/ mom, w/ quinn",2017-05-29
2022-11-10,Wonder Woman,2017,https://boxd.it/3pIC0P,,,"amc naperville 16, w/ dad, w/ mom, w/ quinn",2017-06-05
2023-06-12,National Lampoon's Vacation,1983,https://boxd.it/4myT8H,,Yes,"car dvd / on a roadtrip, w/ quinn",2017-06-07
2023-04-19,Monty Python and the Holy Grail,1975,https://boxd.it/48Ck4n,,,"car dvd / on a roadtrip, w/ quinn",2017-06-08
2022-11-10,Cars 3,2017,https://boxd.it/3pIBBl,,,"amc chapel hills 13, w/ dad, w/ mom, w/ quinn, w/ grandparents, on vacation, colorado, w/ uncle mark, w/ aunt shannon, w/ nathan, w/ katie",2017-06-22
2022-11-10,Despicable Me 3,2017,https://boxd.it/3pICT1,,,"amc naperville 16, w/ dad, w/ mom, w/ quinn",2017-07-02
2022-11-10,Baby Driver,2017,https://boxd.it/3pID7n,,,"amc naperville 16, w/ dad, w/ mom, w/ quinn",2017-07-04
2022-11-10,Spider-Man: Homecoming,2017,https://boxd.it/3pIDpr,,,"amc naperville 16, imax, w/ dad, w/ mom, w/ quinn",2017-07-07
2022-11-10,Logan Lucky,2017,https://boxd.it/3pIEK1,,,"amc naperville 16, w/ dad, w/ mom, w/ quinn",2017-08-26
2022-11-10,Terminator 2: Judgment Day,1991,https://boxd.it/3pIEWB,,Yes,"amc naperville 16, 3d, w/ dad",2017-08-27
2022-11-10,Close Encounters of the Third Kind,1977,https://boxd.it/3pIFgV,,,"amc naperville 16, w/ dad, w/ mom, w/ quinn, 3d",2017-09-04
2022-11-10,The Lego Ninjago Movie,2017,https://boxd.it/3pIFRd,,,"amc naperville 16, w/ dad, w/ mom, w/ quinn, w/ friends",2017-09-22
2022-11-10,Child's Play,1988,https://boxd.it/3pIGwb,,Yes,w/ dad,2017-10-31
2022-11-10,Thor: Ragnarok,2017,https://boxd.it/3pJTOp,,,"amc naperville 16, imax, w/ dad, w/ mom, w/ quinn",2017-11-05
2022-11-10,Justice League,2017,https://boxd.it/3pJUVL,,,"amc naperville 16, w/ dad, w/ mom, w/ quinn",2017-11-19
2022-11-10,Murder on the Orient Express,2017,https://boxd.it/3pJVl5,,,"amc naperville 16, w/ dad, w/ mom, w/ quinn",2017-11-23
2022-11-10,Wonder,2017,https://boxd.it/3pJVGn,,,"amc naperville 16, w/ dad, w/ mom, w/ quinn",2017-11-24
2022-11-10,Coco,2017,https://boxd.it/3pJW1l,,,"amc naperville 16, dolby, w/ dad, w/ mom, w/ quinn",2017-11-25
2022-12-12,Star Wars: The Last Jedi,2017,https://boxd.it/3wmAs7,,,"gqt randall 15, imax, w/ dad, w/ mom, w/ quinn",2017-12-15
2022-12-12,Jumanji: Welcome to the Jungle,2017,https://boxd.it/3wmBp9,,,"amc naperville 16, w/ dad, w/ mom, w/ quinn",2017-12-23
2022-12-12,Darkest Hour,2017,https://boxd.it/3wmC71,,,"amc naperville 16, w/ mom, w/ dad, w/ grandparents",2017-12-26
2022-12-12,The Greatest Showman,2017,https://boxd.it/3wmCvH,,,"amc naperville 16, w/ dad, w/ mom, w/ quinn, w/ grandparents",2017-12-28
2022-12-12,The Post,2017,https://boxd.it/3wmD69,,,"amc naperville 16, w/ dad",2018-01-02
2023-04-19,Black Panther,2018,https://boxd.it/48C5qD,,,"kendall 11, w/ dad, w/ mom, w/ quinn",2018-02-18
2023-04-19,A Wrinkle in Time,2018,https://boxd.it/48BOCR,,,"amc naperville 16, w/ dad, w/ mom, w/ quinn",2018-03-11
2022-12-14,Avengers: Infinity War,2018,https://boxd.it/3wRrY1,,,"amc naperville 16, imax, w/ dad, w/ mom, w/ quinn",2018-04-28
2022-12-14,Avengers: Infinity War,2018,https://boxd.it/3wRscH,,Yes,"kendall 11, w/ dad",2018-05-04
2022-12-14,Incredibles 2,2018,https://boxd.it/3wRnTL,,,"amc naperville 16, w/ dad",2018-06-14
2022-12-14,Incredibles 2,2018,https://boxd.it/3wRqU3,,Yes,"amc naperville 16, w/ dad, w/ mom, w/ quinn",2018-06-17
2022-12-14,Kill Bill: Vol. 1,2003,https://boxd.it/3wRmGB,,,"netflix, on a plane",2018-07-06
2022-12-14,Kill Bill: Vol. 2,2004,https://boxd.it/3wRmXd,,,"netflix, on a plane",2018-07-07
2022-12-14,Pulp Fiction,1994,https://boxd.it/3wRnaV,,,"netflix, on a plane",2018-07-07
2023-04-19,Jurassic World: Fallen Kingdom,2018,https://boxd.it/48BWQ3,,,"amc naperville 16, w/ dad, w/ mom, w/ quinn",2018-07-08
