Letterboxd list export v7
Date,Name,Tags,URL,Description
2022-03-28,#1 movie on my birthday each year I’ve been alive,,https://boxd.it/fYkrW,Inspired by Skyler's list. Early September has never really been a hotspot for movies lmfao but Hero on my first birthday is hype

Position,Name,Year,URL,Description
1,Jeepers Creepers 2,2003,https://boxd.it/1U3Q,
2,Hero,2002,https://boxd.it/2bcq,
3,Transporter 2,2005,https://boxd.it/1YWq,
4,Invincible,2006,https://boxd.it/1Tkm,
5,Halloween,2007,https://boxd.it/27u6,
6,Tropic Thunder,2008,https://boxd.it/20WM,
7,The Final Destination,2009,https://boxd.it/1EmW,
8,The American,2010,https://boxd.it/dSE,
9,The Help,2011,https://boxd.it/EDm,
10,The Possession,2012,https://boxd.it/2Hla,
11,The Butler,2013,https://boxd.it/4iti,
12,Guardians of the Galaxy,2014,https://boxd.it/3VH2,
13,The Transporter Refueled,2015,https://boxd.it/8WBE,
14,Don't Breathe,2016,https://boxd.it/9yzw,
15,The Hitman's Bodyguard,2017,https://boxd.it/dCmO,
16,Crazy Rich Asians,2018,https://boxd.it/gfnK,
17,Angel Has Fallen,2019,https://boxd.it/eYfC,
18,Tenet,2020,https://boxd.it/leq4,
19,Shang-Chi and the Legend of the Ten Rings,2021,https://boxd.it/kLDI,
20,Top Gun: Maverick,2022,https://boxd.it/cjr4,
21,The Equalizer 3,2023,https://boxd.it/yU54,
22,Deadpool & Wolverine,2024,https://boxd.it/jq8s,
23,Weapons,2025,https://boxd.it/EMTM,
