Letterboxd list export v7
Date,Name,Tags,URL,Description
2020-08-31,2018 (90th ceremony) Best Picture Nominees Ranked,"rankings, best picture",https://boxd.it/8Bary,1-5 are very interchangeable

Position,Name,Year,URL,Description
1,Lady Bird,2017,https://boxd.it/dGNE,
2,Get Out,2017,https://boxd.it/eOCm,
3,The Shape of Water,2017,https://boxd.it/dZ5m,
4,Call Me by Your Name,2017,https://boxd.it/dYmm,
5,Phantom Thread,2017,https://boxd.it/e4uc,
6,Dunkirk,2017,https://boxd.it/d0Y6,
7,"Three Billboards Outside Ebbing, Missouri",2017,https://boxd.it/ceBS,
8,Darkest Hour,2017,https://boxd.it/dZZa,
9,The Post,2017,https://boxd.it/fTeG,
