Letterboxd list export v7
Date,Name,Tags,URL,Description
2020-08-31,2020 Best Picture Nominees Ranked,"rankings, best picture",https://boxd.it/8Bam4,

Position,Name,Year,URL,Description
1,Parasite,2019,https://boxd.it/hTha,
2,Marriage Story,2019,https://boxd.it/hJAw,
3,Little Women,2019,https://boxd.it/aSVk,
4,The Irishman,2019,https://boxd.it/dYOq,
5,1917,2019,https://boxd.it/jj4y,
6,Jojo Rabbit,2019,https://boxd.it/iEBG,
7,Once Upon a Time... in Hollywood,2019,https://boxd.it/gH0O,
8,Joker,2019,https://boxd.it/h4cS,
9,Ford v Ferrari,2019,https://boxd.it/ce74,
