Letterboxd list export v7
Date,Name,Tags,URL,Description
2025-05-19,2025 Ranked,top2025,https://boxd.it/H7oV8,"Last update — March 15, 2026"

Position,Name,Year,URL,Description
1,Resurrection,2025,https://boxd.it/x9DG,
2,The Secret Agent,2025,https://boxd.it/KkUE,
3,Sound of Falling,2025,https://boxd.it/Km9K,
4,The Baltimorons,2025,https://boxd.it/SBYa,
5,Father Mother Sister Brother,2025,https://boxd.it/HRoU,
6,Sirāt,2025,https://boxd.it/HxJo,
7,One Battle After Another,2025,https://boxd.it/DUHM,
8,Spilt Milk,2024,https://boxd.it/Neiq,
9,Roofman,2025,https://boxd.it/LcIW,
10,Sinners,2025,https://boxd.it/KQMM,
11,Bring Her Back,2025,https://boxd.it/Hxlc,
12,It Was Just an Accident,2025,https://boxd.it/TX2k,
13,Sentimental Value,2025,https://boxd.it/GwcG,
14,Marty Supreme,2025,https://boxd.it/Off0,
15,The Love That Remains,2025,https://boxd.it/LWuG,
16,The Voice of Hind Rajab,2025,https://boxd.it/UXdO,
17,Jay Kelly,2025,https://boxd.it/EsWw,
18,Train Dreams,2025,https://boxd.it/LdDo,
19,Cover-Up,2025,https://boxd.it/WpP4,
20,Nirvanna the Band the Show the Movie,2025,https://boxd.it/HG9a,
21,The President's Cake,2025,https://boxd.it/UhSA,
22,Frankenstein,2025,https://boxd.it/Ecsg,
23,Blue Moon,2025,https://boxd.it/Nzwy,
24,Seeds,2025,https://boxd.it/RSGq,
25,"Sorry, Baby",2025,https://boxd.it/JKNi,
26,Ne Zha 2,2025,https://boxd.it/B2qe,
27,No Other Choice,2025,https://boxd.it/nKiA,
28,Avatar: Fire and Ash,2025,https://boxd.it/2W7s,
29,Mission: Impossible – The Final Reckoning,2025,https://boxd.it/l7A2,
30,If I Had Legs I'd Kick You,2025,https://boxd.it/HUtS,
31,Mickey 17,2025,https://boxd.it/q1Dk,
32,Grand Theft Hamlet,2024,https://boxd.it/KUyE,
33,The Naked Gun,2025,https://boxd.it/Da9k,
34,Weapons,2025,https://boxd.it/EMTM,
35,The Mastermind,2025,https://boxd.it/Q7ge,
36,Wake Up Dead Man,2025,https://boxd.it/uAKS,
37,F1,2025,https://boxd.it/yjVM,
38,The Phoenician Scheme,2025,https://boxd.it/H0Ca,
39,Materialists,2025,https://boxd.it/GZlW,
40,Black Bag,2025,https://boxd.it/KRbM,
41,Die My Love,2025,https://boxd.it/D5cI,
42,Cutting Through Rocks,2025,https://boxd.it/RSHo,
43,Is This Thing On?,2025,https://boxd.it/H73Q,
44,Hamnet,2025,https://boxd.it/woVy,
45,The Testament of Ann Lee,2025,https://boxd.it/RTTU,
46,Palestine 36,2025,https://boxd.it/T09w,
47,Rebuilding,2025,https://boxd.it/JYjm,
48,Zootopia 2,2025,https://boxd.it/F0vO,
49,Adult Children,2025,https://boxd.it/UOYQ,
50,Lurker,2025,https://boxd.it/McHG,
51,The Long Walk,2025,https://boxd.it/mic8,
52,Riefenstahl,2024,https://boxd.it/ETau,
53,The Smashing Machine,2025,https://boxd.it/syUC,
54,Rental Family,2025,https://boxd.it/JQOw,
55,Eddington,2025,https://boxd.it/o6MC,
56,Splitsville,2025,https://boxd.it/PGtA,
57,Dog Man,2025,https://boxd.it/t6Iq,
58,Megadoc,2025,https://boxd.it/NeK0,
59,A House of Dynamite,2025,https://boxd.it/NcXc,
60,Caught Stealing,2025,https://boxd.it/LnyS,
61,Highest 2 Lowest,2025,https://boxd.it/LcIC,
62,Nouvelle Vague,2025,https://boxd.it/LLLQ,
63,The Life of Chuck,2024,https://boxd.it/vMTu,
64,Song Sung Blue,2025,https://boxd.it/QMqO,
65,28 Years Later,2025,https://boxd.it/FEGM,
66,Warfare,2025,https://boxd.it/LbRo,
67,The Legend of Ochi,2025,https://boxd.it/xRZm,
68,Ballerina,2025,https://boxd.it/jKqG,
69,Superman,2025,https://boxd.it/E9IU,
70,Stans,2025,https://boxd.it/LlvW,
71,Wicked: For Good,2025,https://boxd.it/AyfK,
72,Together,2025,https://boxd.it/LdFE,
73,The Running Man,2025,https://boxd.it/u36A,
74,Anaconda,2025,https://boxd.it/KV9g,
75,HIM,2025,https://boxd.it/BfYI,
76,Bugonia,2025,https://boxd.it/qeWY,
77,Drop,2025,https://boxd.it/LyPq,
78,TRON: Ares,2025,https://boxd.it/jqdM,
79,The Electric State,2025,https://boxd.it/tev0,
80,War of the Worlds,2025,https://boxd.it/so0a,
81,The Monkey,2025,https://boxd.it/Gwiu,
