Letterboxd list export v7
Date,Name,Tags,URL,Description
2025-08-28,25 Most Anticipated of 2025,,https://boxd.it/O6qfY,"As always, super excited to see how this list ages. What surprises me, what disappoints me, what is exactly what I expected, and what sleeper hits come out of nowhere. Bring it on, festival season!!

Very loosely ranked."

Position,Name,Year,URL,Description
1,Train Dreams,2025,https://boxd.it/LdDo,October 20th (CIFF)
2,Marty Supreme,2025,https://boxd.it/Off0,Christmas
3,It Was Just an Accident,2025,https://boxd.it/TX2k,October 31st
4,One Battle After Another,2025,https://boxd.it/DUHM,September 26th
5,Frankenstein,2025,https://boxd.it/Ecsg,October 17th
6,Sentimental Value,2025,https://boxd.it/GwcG,November 14th
7,Sound of Falling,2025,https://boxd.it/Km9K,October 18th (CIFF)
8,No Other Choice,2025,https://boxd.it/nKiA,October 26th (CIFF)
9,Sirāt,2025,https://boxd.it/HxJo,October 17th (CIFF)
10,The Secret Agent,2025,https://boxd.it/KkUE,December 19th(?)
11,Jay Kelly,2025,https://boxd.it/EsWw,October 24th (CIFF)
12,The Love That Remains,2025,https://boxd.it/LWuG,October 23rd (CIFF)
13,Bugonia,2025,https://boxd.it/qeWY,October 24th
14,The Mastermind,2025,https://boxd.it/Q7ge,October 24th
15,Father Mother Sister Brother,2025,https://boxd.it/HRoU,October 25th (CIFF)
16,Yes,2025,https://boxd.it/HuAI,March 27th
17,Die My Love,2025,https://boxd.it/D5cI,November 7th
18,The Testament of Ann Lee,2025,https://boxd.it/RTTU,December 25th
19,The Smashing Machine,2025,https://boxd.it/syUC,October 3rd
20,Blue Moon,2025,https://boxd.it/Nzwy,Around March on Netflix? I missed it in theaters :/
21,Avatar: Fire and Ash,2025,https://boxd.it/2W7s,December 19th
22,Nouvelle Vague,2025,https://boxd.it/LLLQ,November 14th (Netflix)
23,Roofman,2025,https://boxd.it/LcIW,October 10th
24,If I Had Legs I'd Kick You,2025,https://boxd.it/HUtS,January on HBO Max? I missed it in theaters :/
25,Caught Stealing,2025,https://boxd.it/LnyS,
26,Left-Handed Girl,2025,https://boxd.it/BLDW,"November 28th (Netflix)

adding stuff from here to the bottom that I wanna see but I think I'll forget about in the commotion of awards season"
