Letterboxd list export v7
Date,Name,Tags,URL,Description
2026-01-16,80 for 2026,,https://boxd.it/RMfLq,"A list of 80 movies I made that piqued my interest for this year! Will be interesting to see how this ages, not sure if I’ll keep updating it or just use it as a time capsule from January."

Position,Name,Year,URL,Description
1,28 Years Later: The Bone Temple,2026,https://boxd.it/MwlA,
2,The Moment,2026,https://boxd.it/SCkg,
3,Send Help,2026,https://boxd.it/JuhA,
4,"Good Luck, Have Fun, Don't Die",2025,https://boxd.it/Glua,
5,Wuthering Heights,2026,https://boxd.it/OdIa,
6,In the Blink of an Eye,2026,https://boxd.it/D3Wu,
7,The Bride!,2026,https://boxd.it/HSw6,
8,Project Hail Mary,2026,https://boxd.it/pEeQ,
9,The Drama,2026,https://boxd.it/OA2w,
10,Mother Mary,2026,https://boxd.it/FILw,
11,I Love Boosters,2026,https://boxd.it/KBIU,
12,Disclosure Day,2026,https://boxd.it/MDJY,
13,Jackass: Best and Last,2026,https://boxd.it/10aYe,
14,The Odyssey,2026,https://boxd.it/QFQU,
15,The End of Oak Street,2026,https://boxd.it/FF9a,
16,The Rivals of Amziah King,2025,https://boxd.it/Gw3a,
17,The Dog Stars,2026,https://boxd.it/RfZI,
18,Digger,2026,https://boxd.it/LwDC,
19,Remain,2027,https://boxd.it/SKze,
20,Narnia,2026,https://boxd.it/HoaE,
21,The Entertainment System Is Down,,https://boxd.it/xSec,
22,Dune: Part Three,2026,https://boxd.it/ImWe,
23,Werwulf,2026,https://boxd.it/SC72,
24,Fatherland,,https://boxd.it/TbK4,
25,The Adventures of Cliff Booth,,https://boxd.it/TZdY,
26,All of a Sudden,2026,https://boxd.it/UMOO,
27,Alpha Gang,,https://boxd.it/qR2g,
28,American Nails,,https://boxd.it/Lnhi,
29,Ancient History,,https://boxd.it/Solu,
30,The Assassin(s),,https://boxd.it/Sv4g,
31,Audition,,https://boxd.it/Xyi6,
32,The Basics of Philosophy,,https://boxd.it/PFvA,
33,Bad Lieutenant: Tokyo,,https://boxd.it/UEnq,
34,Behemoth!,,https://boxd.it/TMIY,
35,Bitter Christmas,2026,https://boxd.it/Fbai,
36,The Blood Countess,2026,https://boxd.it/LE4A,
37,Bucking Fastard,,https://boxd.it/ST8Q,
38,Bunker,,https://boxd.it/UFGe,
39,Butterfly Jam,2026,https://boxd.it/yGgi,
40,By Any Means,2026,https://boxd.it/R8uS,
41,Coward,,https://boxd.it/TcSy,
42,Cry to Heaven,,https://boxd.it/Sk0M,
43,Deep Cuts,,https://boxd.it/TiKA,
44,Diary of a Mad Old Man,,https://boxd.it/TsHw,
45,The End of It,,https://boxd.it/UNiO,
46,Erupcja,2025,https://boxd.it/PHcq,
47,Fjord,2026,https://boxd.it/RVja,
48,Her Private Hell,,https://boxd.it/UtHY,
49,Here Comes the Flood,,https://boxd.it/qdjm,
50,I See Buildings Fall Like Lightning,,https://boxd.it/TUbS,
51,I Want Your Sex,2026,https://boxd.it/N8by,
52,Jack of Spades,,https://boxd.it/VblC,
53,The Land of Nod,,https://boxd.it/R3Oy,
54,A Long Winter,,https://boxd.it/X7vW,
55,The Mammoths That Escaped the Kingdom of Erlik Khan,,https://boxd.it/YP14,
56,Mimesis,,https://boxd.it/GWvE,
57,Minotaur,2026,https://boxd.it/w1Nc,
58,On Land and Sea,,https://boxd.it/Z4hG,
59,Only What We Carry,,https://boxd.it/Yvxa,
60,Out of This World,,https://boxd.it/KjLQ,
61,Paper Tiger,,https://boxd.it/RaaU,
62,Parallel Tales,2026,https://boxd.it/HOdk,
63,A Place in Hell,2026,https://boxd.it/TbPI,
64,Possible Love,,https://boxd.it/V4WQ,
65,Ray Gunn,,https://boxd.it/zs0M,
66,Red Rocks,,https://boxd.it/Mfrw,
67,Reptilia,,https://boxd.it/URpY,
68,The Riders,,https://boxd.it/H5TA,
69,Rosebush Pruning,2026,https://boxd.it/GL2m,
70,Santo Subito!,,https://boxd.it/RcyE,
71,Saturn Return,,https://boxd.it/Xrzu,
72,Sheep in the Box,2026,https://boxd.it/XV3y,
73,Teenage Sex and Death at Camp Miasma,2026,https://boxd.it/L9GS,
74,Tony,,https://boxd.it/OJaa,
75,Untitled Jesse Eisenberg Musical Comedy,,https://boxd.it/Rw9k,
76,Untitled Mike Leigh Film,,https://boxd.it/QL3Y,
77,Untitled Trey Parker / Matt Stone / Kendrick Lamar Comedy,,https://boxd.it/yUzS,
78,Wake of Umbra,,https://boxd.it/HCjU,
79,Wild Horse Nine,2026,https://boxd.it/xG0M,
80,Wildwood,2026,https://boxd.it/tLD2,
