Letterboxd list export v7
Date,Name,Tags,URL,Description
2021-02-12,Aron Darrenofsky,rankings,https://boxd.it/baaOK,"I haven't seen <i>Noah</i> since it first came out but my memory of it is actually rather good so the placement for it is based on that.

I like them all except <i>The Fountain</i>"

Position,Name,Year,URL,Description
1,Requiem for a Dream,2000,https://boxd.it/29VI,
2,Black Swan,2010,https://boxd.it/Sw0,
3,mother!,2017,https://boxd.it/dgRU,
4,The Wrestler,2008,https://boxd.it/1So8,
5,Pi,1998,https://boxd.it/2ajq,
6,The Whale,2022,https://boxd.it/tw4c,
7,Caught Stealing,2025,https://boxd.it/LnyS,
8,Noah,2014,https://boxd.it/34QA,
9,The Fountain,2006,https://boxd.it/28RU,
