Letterboxd list export v7
Date,Name,Tags,URL,Description
2025-09-28,Best Fantasy Movies of the 2020s,,https://boxd.it/P6sTK,

Position,Name,Year,URL,Description
1,All of Us Strangers,2023,https://boxd.it/Bz3C,
2,Beau Is Afraid,2023,https://boxd.it/u2gE,
3,The Northman,2022,https://boxd.it/nK2s,
4,Petite Maman,2021,https://boxd.it/s6je,
5,The Boy and the Heron,2023,https://boxd.it/ipeM,
6,Mad God,2021,https://boxd.it/vVPm,
7,Guillermo del Toro's Pinocchio,2022,https://boxd.it/kjMW,
8,Soul,2020,https://boxd.it/ioLA,
9,Ne Zha 2,2025,https://boxd.it/B2qe,
10,Flow,2024,https://boxd.it/v1Ei,
