Letterboxd list export v7
Date,Name,Tags,URL,Description
2021-11-15,Best movies I haven’t seen,,https://boxd.it/e32kK,"Movies on my watchlist that I’m obsessed with and haven’t seen yet because I want my first watch to be as perfect and distraction-free as possible.

Watched since creation
-- The Handmaiden (11/2021)
-- Do the Right Thing (2/2022)
-- Spring Breakers (3/2022)
-- The End of Evangelion (3/2022)
-- Dancer in the Dark (4/2022)
-- Lady Snowblood (11/2022)
-- Exit Through the Gift Shop (12/2022)
-- Chi-Raq (2/2023)
-- Burning (3/2023)
-- The Act of Killing (5/2023)
-- Perfect Blue (9/2023)
-- Apocalypse Now (10/2023)
-- A Brighter Summer Day (3/2024)
-- Taste of Cherry (7/2024)"

Position,Name,Year,URL,Description
1,Love Exposure,2008,https://boxd.it/1pDe,
2,Fallen Angels,1995,https://boxd.it/1UkW,
3,Incendies,2010,https://boxd.it/Msm,
4,Amour,2012,https://boxd.it/34Q6,
5,20th Century Women,2016,https://boxd.it/bqU6,
6,An Elephant Sitting Still,2018,https://boxd.it/i1EQ,
7,Garth Marenghi's Darkplace,2004,https://boxd.it/pMvA,
8,Mommy,2014,https://boxd.it/7Uau,
9,Grave of the Fireflies,1988,https://boxd.it/1RUM,
10,Beautiful Boy,2018,https://boxd.it/g76Q,
11,But I'm a Cheerleader,1999,https://boxd.it/1CW4,
12,Mysterious Skin,2004,https://boxd.it/1UsG,
13,Son of Saul,2015,https://boxd.it/b6r4,
14,Thirst,2009,https://boxd.it/1Aqq,
15,Mandy,2018,https://boxd.it/gtti,
16,Secret Sunshine,2007,https://boxd.it/27CY,
17,Women on the Verge of a Nervous Breakdown,1988,https://boxd.it/24GI,
18,Labyrinth,1986,https://boxd.it/1POC,
19,Mirror,1975,https://boxd.it/28Q8,
20,Killer of Sheep,1978,https://boxd.it/1rPc,
21,Seven Samurai,1954,https://boxd.it/2axi,
22,Christiane F.,1981,https://boxd.it/1YiA,
23,I Am Cuba,1964,https://boxd.it/1hUQ,
24,Cyclo,1995,https://boxd.it/1aX4,
25,The Lovers on the Bridge,1991,https://boxd.it/26li,
26,A Separation,2011,https://boxd.it/gvo,
27,The Seventh Seal,1957,https://boxd.it/2ahO,
