Letterboxd list export v7
Date,Name,Tags,URL,Description
2021-02-08,Best Picture Winners I've Seen,,https://boxd.it/b7s4Y,"Haven’t seen <i>Sound of Music</i> or <i>Titanic</i> recently enough to rank so I have them in the bottom two spots by default. I doubt they’re actually the two worst.

Last update -- April 2, 2026"

Position,Name,Year,URL,Description
1,Parasite,2019,https://boxd.it/hTha,
2,Moonlight,2016,https://boxd.it/d6bE,
3,Everything Everywhere All at Once,2022,https://boxd.it/jUk4,
4,The Lord of the Rings: The Return of the King,2003,https://boxd.it/2b5u,
5,Lawrence of Arabia,1962,https://boxd.it/2wRE,
6,Birdman or (The Unexpected Virtue of Ignorance),2014,https://boxd.it/5RFA,
7,One Flew Over the Cuckoo's Nest,1975,https://boxd.it/2aeA,
8,The Godfather,1972,https://boxd.it/2aNK,
9,The Godfather Part II,1974,https://boxd.it/2aNq,
10,One Battle After Another,2025,https://boxd.it/DUHM,
11,No Country for Old Men,2007,https://boxd.it/21ew,
12,The Departed,2006,https://boxd.it/28MA,
13,Oppenheimer,2023,https://boxd.it/wUow,
14,Schindler's List,1993,https://boxd.it/2aq2,
15,The Apartment,1960,https://boxd.it/2aGE,
16,The Silence of the Lambs,1991,https://boxd.it/2aHW,
17,Annie Hall,1977,https://boxd.it/29M2,
18,American Beauty,1999,https://boxd.it/71Y,
19,12 Years a Slave,2013,https://boxd.it/2D2e,
20,Anora,2024,https://boxd.it/Egcw,
21,The Artist,2011,https://boxd.it/2AwK,
22,Casablanca,1942,https://boxd.it/2aG0,
23,The Sting,1973,https://boxd.it/1Z5s,
24,All Quiet on the Western Front,1930,https://boxd.it/2b2g,
25,The Bridge on the River Kwai,1957,https://boxd.it/29wo,
26,On the Waterfront,1954,https://boxd.it/29TC,
27,The Hurt Locker,2008,https://boxd.it/1Soi,
28,The Shape of Water,2017,https://boxd.it/dZ5m,
29,Forrest Gump,1994,https://boxd.it/728,
30,West Side Story,1961,https://boxd.it/28dK,
31,CODA,2021,https://boxd.it/tbf4,
32,Rocky,1976,https://boxd.it/28Uk,
33,Gladiator,2000,https://boxd.it/2b9m,
34,Nomadland,2020,https://boxd.it/lnRy,
35,The King's Speech,2010,https://boxd.it/dX0,
36,Green Book,2018,https://boxd.it/hErk,
37,The English Patient,1996,https://boxd.it/2arE,
38,A Beautiful Mind,2001,https://boxd.it/2amk,
39,Titanic,1997,https://boxd.it/2a2k,
40,The Sound of Music,1965,https://boxd.it/1MLK,
