Letterboxd list export v7
Date,Name,Tags,URL,Description
2023-11-25,Blumhouse Movies,,https://boxd.it/qt1Im,"Blason Jum


ALSO SEEN (not recently enough to rank):
-- <i>Insidious</i>
-- <i>BlacKkKlansman</i>"

Position,Name,Year,URL,Description
1,Whiplash,2014,https://boxd.it/7bQA,
2,Get Out,2017,https://boxd.it/eOCm,
3,Us,2019,https://boxd.it/gnV6,
4,Upgrade,2018,https://boxd.it/i4gW,
5,Sick,2022,https://boxd.it/vgBI,
6,M3GAN,2022,https://boxd.it/jxmG,
7,Sinister,2012,https://boxd.it/2TnW,
8,The Invisible Man,2020,https://boxd.it/kWlA,
9,The Purge: Anarchy,2014,https://boxd.it/71zk,
10,The Black Phone,2021,https://boxd.it/sqFE,
11,Halloween,2018,https://boxd.it/f0uE,
12,The Purge,2013,https://boxd.it/4Xg0,
13,Five Nights at Freddy's,2023,https://boxd.it/ikHu,
14,Halloween Kills,2021,https://boxd.it/mxzG,
