Letterboxd list export v7
Date,Name,Tags,URL,Description
2023-04-15,Body Parts -- The Film References,,https://boxd.it/mjasQ,"An alphabetical list of every movie shown in the phenomenal new documentary <i>Body Parts</i>, now streaming on Starz and DirecTV."

Position,Name,Year,URL,Description
1,10 Things I Hate About You,1999,https://boxd.it/23AO,
2,42nd Street,1933,https://boxd.it/25PQ,
3,Nine to Five,1980,https://boxd.it/1F2S,
4,A Chorus Line,1985,https://boxd.it/285Q,
5,A Clockwork Orange,1971,https://boxd.it/2aVE,
6,A Fall from Grace,2020,https://boxd.it/oc5Y,
7,A Fantastic Woman,2017,https://boxd.it/fcGi,
8,A Red Girl's Reasoning,2012,https://boxd.it/ah8A,
9,A Woman of Affairs,1928,https://boxd.it/Wsm,
10,About Last Night...,1986,https://boxd.it/1Hse,
11,About Schmidt,2002,https://boxd.it/26mU,
12,Ace Ventura: Pet Detective,1994,https://boxd.it/25RW,
13,Adaptation.,2002,https://boxd.it/26mA,
14,All That Jazz,1979,https://boxd.it/1JB8,
15,Always Goodbye,1938,https://boxd.it/61r4,
16,American Beauty,1999,https://boxd.it/71Y,
17,American Pie Presents: The Naked Mile,2006,https://boxd.it/20qG,
18,American Psycho,2000,https://boxd.it/28Vs,
19,American Reunion,2012,https://boxd.it/2qH4,
20,Angel Heart,1987,https://boxd.it/29WG,
21,Atonement,2007,https://boxd.it/24ui,
22,Austin Powers: International Man of Mystery,1997,https://boxd.it/29y0,
23,Baby Face,1933,https://boxd.it/1rMs,
24,Barbarella,1968,https://boxd.it/20Ba,
25,Barton Fink,1991,https://boxd.it/2aFQ,
26,Basic Instinct,1992,https://boxd.it/2asM,
27,Big Little Lies,2017,https://boxd.it/fYde,
28,Black Swan,2010,https://boxd.it/Sw0,
29,Blade Runner,1982,https://boxd.it/2bcA,
30,Blonde Venus,1932,https://boxd.it/1dPs,
31,Blow Job,1964,https://boxd.it/RNu,
32,Blow-Up,1966,https://boxd.it/2966,
33,Bob & Carol & Ted & Alice,1969,https://boxd.it/1tIM,
34,Body Double,1984,https://boxd.it/1TGW,
35,Body of Evidence,1993,https://boxd.it/27kA,
36,Bombshell,2019,https://boxd.it/j5YC,
37,Bonnie and Clyde,1967,https://boxd.it/2ajg,
38,Boogie Nights,1997,https://boxd.it/23um,
39,Born in Flames,1983,https://boxd.it/19IC,
40,Bound,1996,https://boxd.it/1Z1g,
41,But I'm a Cheerleader,1999,https://boxd.it/1CW4,
42,Cape Fear,1991,https://boxd.it/28vu,
43,Carnal Knowledge,1971,https://boxd.it/1au2,
44,Chicago,2002,https://boxd.it/28zm,
45,Christopher Strong,1933,https://boxd.it/180E,
46,Chronicles of a Lying Spirit (by Kelly Gabron),1992,https://boxd.it/bjsa,
47,Cinema Paradiso,1988,https://boxd.it/1UlA,
48,Cleopatra Jones,1973,https://boxd.it/1un6,
49,Coffy,1973,https://boxd.it/1Bao,
50,Coming Home,1978,https://boxd.it/1iBA,
51,Coyote Ugly,2000,https://boxd.it/21PW,
52,Crash,2004,https://boxd.it/28q0,
53,Crooklyn,1994,https://boxd.it/1efg,
54,Cut Piece,1965,https://boxd.it/9trW,
55,D.E.B.S.,2004,https://boxd.it/2aaS,
