Letterboxd list export v7
Date,Name,Tags,URL,Description
2021-09-15,"Bumblefuck, IL: 2020 inspiration",,https://boxd.it/dox0O,"Also these lists

<a href=""https://letterboxd.com/elihayes/list/my-1000-favorite-films-of-all-time/"" rel=""nofollow"">letterboxd.com/elihayes/list/my-1000-favorite-films-of-all-time/</a>
<a href=""https://letterboxd.com/deathproof/list/hell-is-a-teenage-girl/"" rel=""nofollow"">letterboxd.com/deathproof/list/hell-is-a-teenage-girl/</a>
<a href=""https://letterboxd.com/suspirliam/list/childhood-in-cinema/"" rel=""nofollow"">letterboxd.com/suspirliam/list/childhood-in-cinema/</a>
<a href=""https://letterboxd.com/sapphical/list/growing-pains-or-the-ultimate-coming-of-age/"" rel=""nofollow"">letterboxd.com/sapphical/list/growing-pains-or-the-ultimate-coming-of-age/</a>"

Position,Name,Year,URL,Description
1,Fish Tank,2009,https://boxd.it/1xBg,
2,Columbus,2017,https://boxd.it/eCuA,
3,Paterson,2016,https://boxd.it/cRk2,
4,Adaptation.,2002,https://boxd.it/26mA,
5,Maborosi,1995,https://boxd.it/1G9U,
6,Nomadland,2020,https://boxd.it/lnRy,
7,The Kid with a Bike,2011,https://boxd.it/5Xc,
8,Trainspotting,1996,https://boxd.it/29XY,
9,The Florida Project,2017,https://boxd.it/dMG0,
10,Rushmore,1998,https://boxd.it/1TAO,
11,Mommy,2014,https://boxd.it/7Uau,
12,Lady Bird,2017,https://boxd.it/dGNE,
13,I Killed My Mother,2009,https://boxd.it/1ubO,
14,Kids,1995,https://boxd.it/1YUY,
15,Waves,2019,https://boxd.it/jpmy,
16,mid90s,2018,https://boxd.it/fxIa,
17,Eighth Grade,2018,https://boxd.it/hDMG,
18,Y Tu Mamá También,2001,https://boxd.it/28QM,
19,American Honey,2016,https://boxd.it/bk7C,
20,City of God,2002,https://boxd.it/2a2a,
21,Call Me by Your Name,2017,https://boxd.it/dYmm,
22,Moonlight,2016,https://boxd.it/d6bE,
23,Equinox Flower,1958,https://boxd.it/2lkY,
24,Stranger Than Paradise,1984,https://boxd.it/2ajU,
25,Peppermint Soda,1977,https://boxd.it/2NiG,
26,Killer of Sheep,1978,https://boxd.it/1rPc,
27,Heaven Knows What,2014,https://boxd.it/8P1a,
28,After Life,1998,https://boxd.it/1HMI,
29,Mikey and Nicky,1976,https://boxd.it/iL4,
30,Stand by Me,1986,https://boxd.it/2aOe,
