Letterboxd list export v7
Date,Name,Tags,URL,Description
2025-09-20,CIFF 2025,,https://boxd.it/OUTKQ,"This is gearing up to be my favorite year of CIFF yet. As I'm in my fourth and final year of undergrad, I have no idea where I'll be a year from now, so I'm going into this with the mindset of living CIFF up to the fullest in the potential (but unconfirmed) event that I don't live in Chicago time come October 2026. I'm going all out and so fucking excited.

As per usual, will turn into a ranked list once the festival arrives!"

Position,Name,Year,URL,Description
1,Sound of Falling,2025,https://boxd.it/Km9K,
2,Spilt Milk,2024,https://boxd.it/Neiq,
3,Father Mother Sister Brother,2025,https://boxd.it/HRoU,
4,Train Dreams,2025,https://boxd.it/LdDo,
5,Sirāt,2025,https://boxd.it/HxJo,
6,The Love That Remains,2025,https://boxd.it/LWuG,
7,Cover-Up,2025,https://boxd.it/WpP4,
8,No Other Choice,2025,https://boxd.it/nKiA,
9,Wake Up Dead Man,2025,https://boxd.it/uAKS,
10,Palestine 36,2025,https://boxd.it/T09w,
11,Jay Kelly,2025,https://boxd.it/EsWw,
12,Adult Children,2025,https://boxd.it/UOYQ,
