Letterboxd list export v7
Date,Name,Tags,URL,Description
2022-05-02,CineYouth Film Festival 2022,,https://boxd.it/gqz40,"Not listed is...


Corazòn Del Niño (Child's Heart) directed, written and edited by Salvador Salazar. Six-year-old Martín yearns for a soccer ball that he can’t afford. His sister Xochitl offers the next best thing from the neighborhood as summertime mischief ensues.
Cast: Isaac Acosta, Xochitl IVANA MACIAS, Martin AARON MACIAS (right accent over i), Papa Diego JAVIER PINEDA (curve accent over N), Oziah Zenon, Siana ""SiSi"" McConnell.
Produced by: Andres Aurelio, Salvador Salazar
Director of Photography: Andres Aurelio

God Willing, directed by Vincent DiFrancesco. This sensitive documentary listens to migrants at the U.S.-Mexico border as they recount personal stories of fleeing violence, waiting for legal entry, and hoping for asylum.

Soul Provider, directed by Adora Midderhoff, Jessica Sarmina, Tatiana Mays, Nariah Walker. Stigmas and stereotypes surrounding single parenting are shattered through a collection of personal stories attesting to single mothers’ strength, resourcefulness, and love."

Position,Name,Year,URL,Description
1,Split Ends,2022,https://boxd.it/zcMA,
2,Let Us Breathe,2022,https://boxd.it/ADDi,
3,Ping.Pong.,2022,https://boxd.it/AAR2,
4,adulting?,2022,https://boxd.it/ADDC,
5,Horse Girl,2022,https://boxd.it/AATC,
6,Proof Of Residency,2021,https://boxd.it/uWJ8,
7,Emergence,2022,https://boxd.it/AqCm,
