Letterboxd list export v7
Date,Name,Tags,URL,Description
2021-01-03,Coen Brothers,,https://boxd.it/aIvzg,"I love these silly little guys and their immense filmmaking talent so, so much, especially as of recent. Deadpan humor, clear mastery in the tropes of every genre, bursting personality, effective emotional beats and portrayals of depression, a bizarre but deep understanding of America... what the fuck more could you ask for? Even despite some misfires, I can comfortably call them two of the best filmmakers of this generation."

Position,Name,Year,URL,Description
1,Inside Llewyn Davis,2013,https://boxd.it/34Ro,
2,Fargo,1996,https://boxd.it/2aHM,
3,The Big Lebowski,1998,https://boxd.it/2b6C,
4,Burn After Reading,2008,https://boxd.it/23BW,
5,No Country for Old Men,2007,https://boxd.it/21ew,
6,A Serious Man,2009,https://boxd.it/1RFW,
7,The Hudsucker Proxy,1994,https://boxd.it/1SJA,
8,Barton Fink,1991,https://boxd.it/2aFQ,
9,"O Brother, Where Art Thou?",2000,https://boxd.it/2b3I,
10,The Tragedy of Macbeth,2021,https://boxd.it/lMi4,
11,Miller's Crossing,1990,https://boxd.it/2avG,
12,The Ballad of Buster Scruggs,2018,https://boxd.it/jB2q,
13,Raising Arizona,1987,https://boxd.it/2avQ,
14,True Grit,2010,https://boxd.it/Sog,
15,Blood Simple,1984,https://boxd.it/1U16,
16,Intolerable Cruelty,2003,https://boxd.it/1T7i,
17,The Ladykillers,2004,https://boxd.it/22Z4,
