Letterboxd list export v7
Date,Name,Tags,URL,Description
2020-12-22,Criterion Challenge 2021 -- 52 films watchlist,"cc2021, criterion challenge 2021",https://boxd.it/ayvtM,"<a href=""https://letterboxd.com/bslaby/list/the-criterion-challenge-2021/"">letterboxd.com/bslaby/list/the-criterion-challenge-2021/</a>
This serves as my watchlist for the above challenge. I will make a separate list ranking every one of the films when I get around to watching them. (film's corresponding challenge added in notes)

UPDATE -- My mood changes a lot throughout time so this is absolutely not the original list I had (I wish I saved that somewhere just to see how much had changed), so you might see shifting every once in a while.

I will be watching one film per weekend from the beginning of January through the end of December in 2021. I'll probably do some sort of social media thing for the entire challenge but I have no idea exactly what yet.

Films that were formerly on the list but removed because they were taken off Criterion Channel
- <i>Bisbee '17</i> for week 33: a Western film (taken off February, replaced with <i>I Shot Jesse James</i>"

Position,Name,Year,URL,Description
1,"Paris, Texas",1984,https://boxd.it/29Ts,A film from 1984 (the year Criterion was born)
2,Red Beard,1965,https://boxd.it/251m,A film by Akira Kurosawa
3,2 or 3 Things I Know About Her,1967,https://boxd.it/20Am,A film by Jean-Luc Godard
4,House,1977,https://boxd.it/1vsm,A horror film
5,Boyz n the Hood,1991,https://boxd.it/29Ug,A LaserDisc release
6,Viridiana,1961,https://boxd.it/24eE,A film made in Spain
7,Mishima: A Life in Four Chapters,1985,https://boxd.it/1sBA,"A film from <a href=""https://www.criterion.com/current/top-10-lists/115-wes-anderson-s-top-10"">Wes Anderson's Top 10</a>"
8,Sincere Heart,1953,https://boxd.it/4Qem,A romance film
9,Battleship Potemkin,1925,https://boxd.it/29Vo,A silent film
10,Häxan,1922,https://boxd.it/n4O,A film from the 1920s
11,Emperor Jones,1933,https://boxd.it/U5g,A film from the 1930s
12,"Rome, Open City",1945,https://boxd.it/2aD6,A film from the 1940s
13,Ordet,1955,https://boxd.it/Jiy,A film from the 1950s
14,Shame,1968,https://boxd.it/1tZo,A film from the 1960s
15,Stalker,1979,https://boxd.it/28PO,A film from the 1970s
16,The French Lieutenant's Woman,1981,https://boxd.it/1RLq,A film from the 1980s
17,Dead Man,1995,https://boxd.it/29h4,A film from the 1990s
18,My Winnipeg,2007,https://boxd.it/1Qz4,A film from the 2000s
19,Cameraperson,2016,https://boxd.it/d5ve,A film from the 2010s
20,"Jeanne Dielman, 23, quai du Commerce, 1080 Bruxelles",1975,https://boxd.it/T18,A film directed by a woman
21,The Blood of Jesus,1941,https://boxd.it/1A74,"A film featured in the <a href=""https://www.criterionchannel.com/pioneers-of-african-american-cinema"">Pioneers of African American Cinema</a> series"
22,Trances,1981,https://boxd.it/6pDS,A documentary film
23,Beware of a Holy Whore,1971,https://boxd.it/1hgQ,A comedy film
24,Under the Volcano,1984,https://boxd.it/10dq,A film available on The Criterion Channel
25,Ugetsu,1953,https://boxd.it/1NyM,"A film from <a href=""https://www.criterion.com/current/top-10-lists/214-martin-scorsese-s-top-10"">Martin Scorsese's Top 10</a>"
26,Red Desert,1964,https://boxd.it/1ttW,A film by Michelangelo Antonioni
27,Juliet of the Spirits,1965,https://boxd.it/1FF6,A film by Federico Fellini
28,Maurice,1987,https://boxd.it/1tZy,"A film from the <a href=""https://en.m.wikipedia.org/wiki/List_of_Criterion_Collection_releases#Merchant_Ivory_Collection"">Merchant Ivory Collection</a>"
29,Bowling for Columbine,2002,https://boxd.it/28Ls,"An <a href=""https://www.criterion.com/shop/collection/79-oscar-winners"">Oscar-winning film</a>"
30,Seven Samurai,1954,https://boxd.it/2axi,A film in black and white
31,City Lights,1931,https://boxd.it/29ki,A film by Charlie Chaplin
32,Godzilla vs. Megalon,1973,https://boxd.it/145U,"A film from the <a href=""https://www.criterion.com/boxsets/2648-godzilla-the-showa-era-films-1954-1975"">Godzilla Boxset</a>"
33,I Shot Jesse James,1949,https://boxd.it/10hM,A western film
34,I Vitelloni,1953,https://boxd.it/1RJE,A film made in Italy
35,War and Peace,1965,https://boxd.it/1nRy,A film made in the Soviet Union
36,Aparajito,1956,https://boxd.it/29kW,A film made in India
37,Summer Light,1943,https://boxd.it/5zY,"A film from the <a href=""https://letterboxd.com/yaanu/list/the-criterion-collection-eclipse"">Eclipse series</a>"
38,A Poem Is a Naked Person,1974,https://boxd.it/49eo,"A film from <a href=""https://www.criterion.com/current/top-10-lists/370-kelly-reichardt-s-top-10"">Kelly Reichardt's Top 10</a>"
39,Faces,1968,https://boxd.it/29Ia,A film by John Cassavetes
40,Gertrud,1964,https://boxd.it/1ec2,A film between spine #100-200
41,Brute Force,1947,https://boxd.it/2lh6,A film noir
42,Hunter in the Dark,1979,https://boxd.it/8TW,A samurai film
43,Hellraiser,1987,https://boxd.it/1Zpi,"A film featured on the <a href=""https://www.criterionchannel.com/queersighted-queer-fear"">Queersighted: Queer Fear series</a>"
44,Save the Green Planet!,2003,https://boxd.it/1Uco,"A film featured on the <a href=""https://www.criterionchannel.com/new-korean-cinema"">New Korean Cinema series</a>"
45,Wild Strawberries,1957,https://boxd.it/29ZU,A film by Ingmar Bergman
46,Cléo from 5 to 7,1962,https://boxd.it/2agm,A film by Agnes Varda
47,Empire of Passion,1978,https://boxd.it/GSS,"A film <a href=""https://www.criterionchannel.com/by-the-book>based on a book</a>"
48,Samurai I: Musashi Miyamoto,1954,https://boxd.it/1jfg,"A film that <a href=""https://letterboxd.com/bslaby/list/criterion-collection-foreign-language-oscar/"">the Foreign Language Oscar</a>"
