Letterboxd list export v7
Date,Name,Tags,URL,Description
2020-11-25,David Andrew Leo Fincher,rankings,https://boxd.it/acfHk,"Intensely talented technical guy with a ton of great movies that I need to rewatch. Hopefully I'll get to some of those soon, especially with <i>The Killer</i> coming out this year!"

Position,Name,Year,URL,Description
1,The Social Network,2010,https://boxd.it/17ue,
2,Gone Girl,2014,https://boxd.it/6hQu,
3,Se7en,1995,https://boxd.it/29zs,
4,Zodiac,2007,https://boxd.it/27MO,
5,Panic Room,2002,https://boxd.it/2490,
6,The Girl with the Dragon Tattoo,2011,https://boxd.it/2Pa,
7,The Game,1997,https://boxd.it/26vC,
8,The Curious Case of Benjamin Button,2008,https://boxd.it/23Fk,
9,Fight Club,1999,https://boxd.it/2a9q,
10,Mank,2020,https://boxd.it/mIuC,
11,Alien³,1992,https://boxd.it/20zS,
