Letterboxd list export v7
Date,Name,Tags,URL,Description
2023-08-03,David Keith Lynch,,https://boxd.it/okUpS,"2026 NOTES - top 3 are all basically tied for me. All excellent movies that I could go either way with depending on mood.


Wrote this in 2022... Lynch's approach to filmmaking has been fascinating me ever since I discovered his work. In addition to his directing that creates fascinating aesthetics and captures the nightmare experience like no other, he's connected with me thanks to his universal theme of the darkness underneath and all his lead characters taking matters into their own hands. Getting lost in his weird-ass stories is genuinely a great escape for me."

Position,Name,Year,URL,Description
1,Blue Velvet,1986,https://boxd.it/29BI,
2,Mulholland Drive,2001,https://boxd.it/297o,
3,Eraserhead,1977,https://boxd.it/299u,
4,Twin Peaks: Fire Walk with Me,1992,https://boxd.it/27Qw,
5,Inland Empire,2006,https://boxd.it/28d6,
6,The Elephant Man,1980,https://boxd.it/27LQ,
7,Wild at Heart,1990,https://boxd.it/2aii,
8,Lost Highway,1997,https://boxd.it/29Wc,
9,Dune,1984,https://boxd.it/29tY,
