Letterboxd list export v7
Date,Name,Tags,URL,Description
2022-11-22,Depressed Driving + Ruthless Revenge,,https://boxd.it/jdXco,"They’re driving and depressed, then there's some badass revenge! (off-kilter color grading or camera movement + a certain aesthetic)"

Position,Name,Year,URL,Description
1,Taxi Driver,1976,https://boxd.it/2b8y,The Small Back Room
2,Mad Max,1979,https://boxd.it/1Y7i,
3,GoodFellas,1990,https://boxd.it/29FA,I Vitelloni
4,Wild at Heart,1990,https://boxd.it/2aii,
5,The Living End,1992,https://boxd.it/1fRA,
6,Pulp Fiction,1994,https://boxd.it/29Pq,"Murder, My Sweet
The Hustler
The Godfather: Part II
Night on Earth"
7,Fargo,1996,https://boxd.it/2aHM,
8,Lost Highway,1997,https://boxd.it/29Wc,Two-Lane Blacktop
9,No Country for Old Men,2007,https://boxd.it/21ew,Le Samouraï
10,Drive,2011,https://boxd.it/IG,Thief
11,Inside Llewyn Davis,2013,https://boxd.it/34Ro,Harry and Tonto
12,Parasite,2019,https://boxd.it/hTha,
13,Bones and All,2022,https://boxd.it/tLd4,Badlands
