Letterboxd list export v7
Date,Name,Tags,URL,Description
2022-06-12,Directorial Debuts Ranked,,https://boxd.it/gX3Yw,It’s midnight and I can’t sleep

Position,Name,Year,URL,Description
1,The Evil Dead,1981,https://boxd.it/29Go,
2,Amores Perros,2000,https://boxd.it/2bfu,
3,Pi,1998,https://boxd.it/2ajq,
4,Hard Eight,1996,https://boxd.it/20DU,
5,Bad Taste,1987,https://boxd.it/1Xq4,
6,Blood Simple,1984,https://boxd.it/1U16,
7,Sólo con tu pareja,1991,https://boxd.it/EK8,
8,Following,1998,https://boxd.it/1Tj4,
9,Fear and Desire,1952,https://boxd.it/1WVq,
10,Reservoir Dogs,1992,https://boxd.it/2agc,
11,Alien³,1992,https://boxd.it/20zS,
12,I Stand Alone,1998,https://boxd.it/28Au,
