Letterboxd list export v7
Date,Name,Tags,URL,Description
2020-11-24,Every film referenced in Brooklyn Nine-Nine,,https://boxd.it/aafkG,"A bit of a random list, but Brooklyn Nine-Nine is one of my favorite sitcoms, and the only other list of every movie referenced hasn't been updated since Season 3. So I'm making this with the entire show for your convenience. (taken from IMDb Connections section of each episode)

Donnie Brasco to Pulp Fiction -- Season 1
The Godfather to The Wizard of Oz -- Season 2
Casablanca to Mean Girls -- Season 3
Failure to Launch to La La Land -- Season 4
King Kong to The Dark Knight Rises -- Season 5
Glengarry Glen Ross to Bridget Jones's Diary -- Season 6
Gaslight to Schindler's List -- Season 7
The Fast and the Furious to Salt -- Season 8"

Position,Name,Year,URL,Description
1,Donnie Brasco,1997,https://boxd.it/1YRA,
2,Citizen Kane,1941,https://boxd.it/71O,
3,North by Northwest,1959,https://boxd.it/2aRM,
4,Highlander,1986,https://boxd.it/20GE,
5,Lethal Weapon,1987,https://boxd.it/29e0,
6,Training Day,2001,https://boxd.it/27A4,
7,Fargo,1996,https://boxd.it/2aHM,
8,Die Hard,1988,https://boxd.it/2a7u,
9,RoboCop,1987,https://boxd.it/22Wu,
10,Turner & Hooch,1989,https://boxd.it/21ie,
11,Breathless,1960,https://boxd.it/2aIK,
12,Bad Boys,1995,https://boxd.it/1XVG,
13,Jerry Maguire,1996,https://boxd.it/1YNS,
14,The Hunchback of Notre Dame,1996,https://boxd.it/1VZQ,
15,Oliver!,1968,https://boxd.it/1HQU,
16,Top Gun,1986,https://boxd.it/29JC,
17,Bride of Frankenstein,1935,https://boxd.it/2aPc,
18,Mask,1985,https://boxd.it/1UrI,
19,Mission: Impossible,1996,https://boxd.it/29d2,
20,Braveheart,1995,https://boxd.it/2aTI,
21,The Hurt Locker,2008,https://boxd.it/1Soi,
22,Serpico,1973,https://boxd.it/1ZjE,
23,Death Wish,1974,https://boxd.it/1P5i,
24,Super Troopers,2001,https://boxd.it/12Rs,
25,Do the Right Thing,1989,https://boxd.it/29gA,
26,Aladdin,1992,https://boxd.it/29yE,
27,Cold Mountain,2003,https://boxd.it/270A,
28,Safe House,2012,https://boxd.it/hbk,
29,Once Upon a Time in America,1984,https://boxd.it/2aCs,
30,Blade Runner,1982,https://boxd.it/2bcA,
31,Tron,1982,https://boxd.it/2b9w,
32,Total Recall,1990,https://boxd.it/29qK,
33,An American Tail: Fievel Goes West,1991,https://boxd.it/1Wpk,
34,Gravity,2013,https://boxd.it/GZY,
35,Titanic,1997,https://boxd.it/2a2k,
36,Batman,1989,https://boxd.it/2aIU,
37,The Maltese Falcon,1941,https://boxd.it/29c4,
38,The Bodyguard,1992,https://boxd.it/29Z6,
39,The Girl with the Dragon Tattoo,2011,https://boxd.it/2Pa,
40,The Karate Kid,1984,https://boxd.it/27Wk,
41,Ghostbusters,1984,https://boxd.it/g2w,
42,Othello,1951,https://boxd.it/K5A,
43,Moneyball,2011,https://boxd.it/glS,
44,WarGames,1983,https://boxd.it/29qU,
45,Dances with Wolves,1990,https://boxd.it/2a4K,
46,Beauty and the Beast,1991,https://boxd.it/1XhG,
47,The Little Mermaid,1989,https://boxd.it/1WYO,
48,House Party 2,1991,https://boxd.it/1KPA,
49,Olympus Has Fallen,2013,https://boxd.it/3TMY,
50,Star Wars,1977,https://boxd.it/72s,
51,Jurassic Park,1993,https://boxd.it/2aA2,
52,Mamma Mia!,2008,https://boxd.it/1Tnq,
53,Fame,1980,https://boxd.it/25gc,
54,The Empire Strikes Back,1980,https://boxd.it/27Vw,
55,Fight Club,1999,https://boxd.it/2a9q,
56,Planet of the Apes,1968,https://boxd.it/29p8,
57,The Matrix,1999,https://boxd.it/2a1m,
58,Home Alone,1990,https://boxd.it/29Fg,
59,A Few Good Men,1992,https://boxd.it/29nw,
60,Pulp Fiction,1994,https://boxd.it/29Pq,
61,The Godfather,1972,https://boxd.it/2aNK,
62,The Fast and the Furious: Tokyo Drift,2006,https://boxd.it/1Yeo,
63,Step Up,2006,https://boxd.it/1XS8,
64,One Hundred and One Dalmatians,1961,https://boxd.it/1SeC,
65,Die Hard 2,1990,https://boxd.it/28zw,
66,Die Hard With a Vengeance,1995,https://boxd.it/28zG,
67,Peter Pan,1953,https://boxd.it/1VCC,
68,Something's Gotta Give,2003,https://boxd.it/21gC,
69,The Dirty Dozen,1967,https://boxd.it/28nK,
70,Captain Phillips,2013,https://boxd.it/3GPK,
71,The Postman,1997,https://boxd.it/1Xwc,
72,Sexy Beast,2000,https://boxd.it/1SZS,
73,The Lord of the Rings: The Fellowship of the Ring,2001,https://boxd.it/2b5O,
74,Amadeus,1984,https://boxd.it/2aH8,
75,The Running Man,1987,https://boxd.it/29q6,
76,Sister Act,1992,https://boxd.it/27EA,
77,Live Free or Die Hard,2007,https://boxd.it/28zQ,
78,A Good Day to Die Hard,2013,https://boxd.it/JrK,
79,Batman,1966,https://boxd.it/26uO,
80,The Exorcist,1973,https://boxd.it/1Yoo,
81,Trading Places,1983,https://boxd.it/28sK,
82,12 Years a Slave,2013,https://boxd.it/2D2e,
83,Rain Man,1988,https://boxd.it/2avw,
84,The Lord of the Rings: The Two Towers,2002,https://boxd.it/2b5E,
85,The Lord of the Rings: The Return of the King,2003,https://boxd.it/2b5u,
86,Scarface,1983,https://boxd.it/2b7g,
87,Fifty Shades of Grey,2015,https://boxd.it/6qLo,
88,Foxy Brown,1974,https://boxd.it/1B8i,
89,Grease,1978,https://boxd.it/29YW,
90,Psycho,1960,https://boxd.it/2ab2,
91,Sudden Impact,1983,https://boxd.it/1VJe,
92,The Wizard of Oz,1939,https://boxd.it/29Xu,
93,Casablanca,1942,https://boxd.it/2aG0,
