Letterboxd list export v7
Date,Name,Tags,URL,Description
2025-08-06,Famous Rappers in Film,,https://boxd.it/N4pq4,"Also, other shit I wanna watch this week:
- <i>Magnolia</i> (before <i>Weapons</i>)
- <i>Funny Games…</i> actually maybe <i>Zodiac, Mulholland</i>, and <i>Inland Empire</i> (Fincher’s energized yet still cold and horrific cinematography, Lynch’s performances and manic desire for fame. Both inspo for <i>Asymmetrical</i>)
- <i>Strangers On a Train</i> and <i>To Catch a Thief</i> (budding re-interest in Hitchcock)

My own personal watchlist. Aside from a few specific titles, I mentioned Tupac, Eminem, Tyler, Andre 3000, Snoop, and A$AP to my dad. Also remembered Kanye was in the allegedly shitty <i>Zoolander</i> sequel. Also look up Dre and 50 Cent since I think they act as well. Maybe Jay-Z too?

A few other lists if I need inspiration:
<a href=""https://letterboxd.com/reez/list/rappers-as-actors-shite-tae-super-shite/"" rel=""nofollow"">letterboxd.com/reez/list/rappers-as-actors-shite-tae-super-shite/</a>
<a href=""https://letterboxd.com/nateguerra/list/rappers-in-horror-movies-ranked/"" rel=""nofollow"">letterboxd.com/nateguerra/list/rappers-in-horror-movies-ranked/</a>
<a href=""https://letterboxd.com/sumthinbitmebad/list/horror-films-starring-rappers-rnb-singers/"" rel=""nofollow"">letterboxd.com/sumthinbitmebad/list/horror-films-starring-rappers-rnb-singers/</a>"

Position,Name,Year,URL,Description
1,Boyz n the Hood,1991,https://boxd.it/29Ug,
2,Juice,1992,https://boxd.it/1KK6,
3,Poetic Justice,1993,https://boxd.it/20og,
4,8 Mile,2002,https://boxd.it/2bew,
5,Anchorman 2: The Legend Continues,2013,https://boxd.it/3GNk,
6,The Interview,2014,https://boxd.it/6KQ4,
7,Zoolander 2,2016,https://boxd.it/aNBE,
8,Jackass Forever,2022,https://boxd.it/opUg,
9,Showing Up,2022,https://boxd.it/tJ1q,
10,The Underdoggs,2024,https://boxd.it/C5Z4,
11,If I Had Legs I'd Kick You,2025,https://boxd.it/HUtS,
12,Highest 2 Lowest,2025,https://boxd.it/LcIC,
13,War of the Worlds,2025,https://boxd.it/so0a,
14,Marty Supreme,2025,https://boxd.it/Off0,
