Letterboxd list export v7
Date,Name,Tags,URL,Description
2020-07-18,Favorite Movies (July to October 2020),rankings,https://boxd.it/7qO1k,"I fucking hate ranking movies :)

Abandoned on October 21, 2020 after watching Climax"

Position,Name,Year,URL,Description
1,There Will Be Blood,2007,https://boxd.it/20Z2,
2,Moonlight,2016,https://boxd.it/d6bE,
3,"Synecdoche, New York",2008,https://boxd.it/23zw,
4,Parasite,2019,https://boxd.it/hTha,
5,Birdman or (The Unexpected Virtue of Ignorance),2014,https://boxd.it/5RFA,
6,It's Such a Beautiful Day,2012,https://boxd.it/hCY2,
7,Adaptation.,2002,https://boxd.it/26mA,
8,A Clockwork Orange,1971,https://boxd.it/2aVE,
9,Anomalisa,2015,https://boxd.it/97TE,
10,American Beauty,1999,https://boxd.it/71Y,
11,Call Me by Your Name,2017,https://boxd.it/dYmm,
12,Citizen Kane,1941,https://boxd.it/71O,
13,Kill Bill: Vol. 1,2003,https://boxd.it/70w,
14,Akira,1988,https://boxd.it/2b1i,
15,Hoop Dreams,1994,https://boxd.it/1Opc,
16,2001: A Space Odyssey,1968,https://boxd.it/2bf0,
17,GoodFellas,1990,https://boxd.it/29FA,
18,Full Metal Jacket,1987,https://boxd.it/2a1Q,
19,The Irishman,2019,https://boxd.it/dYOq,
20,Inception,2010,https://boxd.it/1skk,
21,Inglourious Basterds,2009,https://boxd.it/1JzG,
22,The Dark Knight,2008,https://boxd.it/2b0k,
23,Boogie Nights,1997,https://boxd.it/23um,
24,"The Good, the Bad and the Ugly",1966,https://boxd.it/2ape,
25,1917,2019,https://boxd.it/jj4y,
26,Being John Malkovich,1999,https://boxd.it/2ahu,
27,The Empire Strikes Back,1980,https://boxd.it/27Vw,
28,Chicken Run,2000,https://boxd.it/20Xg,
29,Crip Camp: A Disability Revolution,2020,https://boxd.it/oiOg,
30,Indiana Jones and the Last Crusade,1989,https://boxd.it/2baO,
31,Hot Fuzz,2007,https://boxd.it/2416,
32,Kill Bill: Vol. 2,2004,https://boxd.it/2au4,
33,Lady Bird,2017,https://boxd.it/dGNE,
34,Life Itself,2014,https://boxd.it/7lqC,
35,The Lighthouse,2019,https://boxd.it/icFU,
36,The Lord of the Rings: The Fellowship of the Ring,2001,https://boxd.it/2b5O,
37,The Lord of the Rings: The Return of the King,2003,https://boxd.it/2b5u,
38,Mad Max: Fury Road,2015,https://boxd.it/2DjO,
39,Marriage Story,2019,https://boxd.it/hJAw,
40,The Master,2012,https://boxd.it/2cBG,
41,Minari,2020,https://boxd.it/mL9M,
42,Nomadland,2020,https://boxd.it/lnRy,
43,Pan's Labyrinth,2006,https://boxd.it/28No,
44,Paths of Glory,1957,https://boxd.it/29b6,
45,Persona,1966,https://boxd.it/29B4,
46,Raging Bull,1980,https://boxd.it/28yI,
47,Raiders of the Lost Ark,1981,https://boxd.it/2bbs,
48,Rango,2011,https://boxd.it/QPk,
49,Rear Window,1954,https://boxd.it/2a6Q,
50,Requiem for a Dream,2000,https://boxd.it/29VI,
51,Reservoir Dogs,1992,https://boxd.it/2agc,
52,Roma,2018,https://boxd.it/f69M,
53,Shame,2011,https://boxd.it/2CxU,
54,Sherlock Jr.,1924,https://boxd.it/298m,
55,The Shining,1980,https://boxd.it/29Nu,
56,The Silence of the Lambs,1991,https://boxd.it/2aHW,
57,Sin City,2005,https://boxd.it/2aVk,
58,Taxi Driver,1976,https://boxd.it/2b8y,
59,Terminator 2: Judgment Day,1991,https://boxd.it/2aGY,
60,WALL·E,2008,https://boxd.it/1VEo,
61,Whiplash,2014,https://boxd.it/7bQA,
