Letterboxd list export v7
Date,Name,Tags,URL,Description
2022-11-19,Favorite opening title sequences,,https://boxd.it/jbwnA,

Position,Name,Year,URL,Description
1,Lady Snowblood,1973,https://boxd.it/26Fi,
2,Enter the Void,2009,https://boxd.it/1dy2,
3,Climax,2018,https://boxd.it/ikvo,
4,Do the Right Thing,1989,https://boxd.it/29gA,
5,After Yang,2021,https://boxd.it/lx5a,
6,Monty Python and the Holy Grail,1975,https://boxd.it/29GI,
7,North by Northwest,1959,https://boxd.it/2aRM,
8,La Haine,1995,https://boxd.it/2as8,
9,Lost Highway,1997,https://boxd.it/29Wc,
10,M*A*S*H,1970,https://boxd.it/29U6,
11,Seed of Chucky,2004,https://boxd.it/1UgA,
12,Wild Style,1982,https://boxd.it/1Oto,
