Letterboxd list export v7
Date,Name,Tags,URL,Description
2021-12-15,Favorites (Color Coded),,https://boxd.it/emMm6,Exact same as my other favorite movies list but I wanted to try and color code it.

Position,Name,Year,URL,Description
1,Enter the Void,2009,https://boxd.it/1dy2,
2,Pain and Glory,2019,https://boxd.it/iOBQ,
3,Suspiria,2018,https://boxd.it/cioI,
4,Yi Yi,2000,https://boxd.it/1vCw,
5,Her,2013,https://boxd.it/4O24,
6,Raw,2016,https://boxd.it/dLd2,
7,There Will Be Blood,2007,https://boxd.it/20Z2,
8,City of God,2002,https://boxd.it/2a2a,
9,Before Sunrise,1995,https://boxd.it/2bcU,
10,Fantastic Mr. Fox,2009,https://boxd.it/1WyQ,
11,The Shining,1980,https://boxd.it/29Nu,
12,Kill Bill: Vol. 1,2003,https://boxd.it/70w,
13,Mulholland Drive,2001,https://boxd.it/297o,
14,The Father,2020,https://boxd.it/m8Ie,
15,Barton Fink,1991,https://boxd.it/2aFQ,
16,The Hunt,2012,https://boxd.it/3wEC,
17,Marriage Story,2019,https://boxd.it/hJAw,
18,Columbus,2017,https://boxd.it/eCuA,
19,"Synecdoche, New York",2008,https://boxd.it/23zw,
20,Birdman or (The Unexpected Virtue of Ignorance),2014,https://boxd.it/5RFA,
21,The Handmaiden,2016,https://boxd.it/948A,
22,The Forest of Love,2019,https://boxd.it/nqbk,
23,Mad God,2021,https://boxd.it/vVPm,
24,Rushmore,1998,https://boxd.it/1TAO,
25,Taxi Driver,1976,https://boxd.it/2b8y,
26,Mad Max: Fury Road,2015,https://boxd.it/2DjO,
27,Children of Men,2006,https://boxd.it/1Y2i,
28,The Worst Person in the World,2021,https://boxd.it/oyws,
29,Parasite,2019,https://boxd.it/hTha,
30,Minari,2020,https://boxd.it/mL9M,
31,Short Term 12,2013,https://boxd.it/5f6s,
32,Chungking Express,1994,https://boxd.it/1UDa,
33,Shame,2011,https://boxd.it/2CxU,
34,Babel,2006,https://boxd.it/292o,
35,Gone Girl,2014,https://boxd.it/6hQu,
36,Arrival,2016,https://boxd.it/aNGk,
37,Mass,2021,https://boxd.it/eYAA,
38,The Kid with a Bike,2011,https://boxd.it/5Xc,
39,The Hand of God,2021,https://boxd.it/r5uI,
40,Requiem for a Dream,2000,https://boxd.it/29VI,
41,Brazil,1985,https://boxd.it/2be2,
42,Punch-Drunk Love,2002,https://boxd.it/20E4,
43,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/6YK,
44,Boyz n the Hood,1991,https://boxd.it/29Ug,
45,The Master,2012,https://boxd.it/2cBG,
46,2001: A Space Odyssey,1968,https://boxd.it/2bf0,
47,The Matrix,1999,https://boxd.it/2a1m,
48,Unbreakable,2000,https://boxd.it/1XV2,
49,Paterson,2016,https://boxd.it/cRk2,
50,Moonlight,2016,https://boxd.it/d6bE,
51,After Life,1998,https://boxd.it/1HMI,
52,Oldboy,2003,https://boxd.it/29R2,
53,Funny Games,1997,https://boxd.it/1WKM,
54,Possession,1981,https://boxd.it/1BPm,
55,Spirited Away,2001,https://boxd.it/2b4m,
56,Mishima: A Life in Four Chapters,1985,https://boxd.it/1sBA,
57,Memories of Murder,2003,https://boxd.it/1TSo,
58,Sympathy for Mr. Vengeance,2002,https://boxd.it/23WU,
59,It Comes at Night,2017,https://boxd.it/eLuk,
60,Roma,2018,https://boxd.it/f69M,
61,Black Swan,2010,https://boxd.it/Sw0,
62,Akira,1988,https://boxd.it/2b1i,
63,A Clockwork Orange,1971,https://boxd.it/2aVE,
64,Trainspotting,1996,https://boxd.it/29XY,
65,Adaptation.,2002,https://boxd.it/26mA,
66,Anomalisa,2015,https://boxd.it/97TE,
67,Full Metal Jacket,1987,https://boxd.it/2a1Q,
68,Persona,1966,https://boxd.it/29B4,
69,C'mon C'mon,2021,https://boxd.it/nrI0,
70,Satantango,1994,https://boxd.it/1j9M,
71,Inside Llewyn Davis,2013,https://boxd.it/34Ro,
72,Paths of Glory,1957,https://boxd.it/29b6,
73,The Lighthouse,2019,https://boxd.it/icFU,
74,Ikiru,1952,https://boxd.it/251c,
75,It's Such a Beautiful Day,2012,https://boxd.it/hCY2,
76,Whiplash,2014,https://boxd.it/7bQA,
