Letterboxd list export v7
Date,Name,Tags,URL,Description
2020-10-26,Favorites List (Early March 2021),rankings,https://boxd.it/93sXS,"For extra fun, I created a map with the central location of each film on this list: <a href=""https://www.google.com/maps/d/u/0/edit?mid=1nXBySvEpWjJHIILRzgHS6_BlWm47-pLh&usp=sharing"">click here</a>
.
Excluded from this list is Hoop Dreams which is undeniably one of my favorite movies, but it's a documentary, and it would be really hard to rank it among narrative features."

Position,Name,Year,URL,Description
1,Black Swan,2010,https://boxd.it/Sw0,
2,"Synecdoche, New York",2008,https://boxd.it/23zw,
3,There Will Be Blood,2007,https://boxd.it/20Z2,
4,Parasite,2019,https://boxd.it/hTha,
5,Short Term 12,2013,https://boxd.it/5f6s,
6,Requiem for a Dream,2000,https://boxd.it/29VI,
7,It's Such a Beautiful Day,2012,https://boxd.it/hCY2,
8,Moonlight,2016,https://boxd.it/d6bE,
9,Birdman or (The Unexpected Virtue of Ignorance),2014,https://boxd.it/5RFA,
10,Paterson,2016,https://boxd.it/cRk2,
11,Marriage Story,2019,https://boxd.it/hJAw,
12,Shame,2011,https://boxd.it/2CxU,
13,Adaptation.,2002,https://boxd.it/26mA,
14,Children of Men,2006,https://boxd.it/1Y2i,
15,Minari,2020,https://boxd.it/mL9M,
16,Spirited Away,2001,https://boxd.it/2b4m,
17,Taxi Driver,1976,https://boxd.it/2b8y,
18,American Beauty,1999,https://boxd.it/71Y,
19,Kill Bill: Vol. 1,2003,https://boxd.it/70w,
20,Akira,1988,https://boxd.it/2b1i,
21,Paths of Glory,1957,https://boxd.it/29b6,
22,Persona,1966,https://boxd.it/29B4,
23,Whiplash,2014,https://boxd.it/7bQA,
24,Inside Llewyn Davis,2013,https://boxd.it/34Ro,
25,City of God,2002,https://boxd.it/2a2a,
26,Mad Max: Fury Road,2015,https://boxd.it/2DjO,
27,Arrival,2016,https://boxd.it/aNGk,
28,The Hunt,2012,https://boxd.it/3wEC,
29,Memories of Murder,2003,https://boxd.it/1TSo,
30,Her,2013,https://boxd.it/4O24,
31,The Pianist,2002,https://boxd.it/2aqc,
32,Roma,2018,https://boxd.it/f69M,
33,Rushmore,1998,https://boxd.it/1TAO,
34,Yi Yi,2000,https://boxd.it/1vCw,
35,Before Sunrise,1995,https://boxd.it/2bcU,
36,Columbus,2017,https://boxd.it/eCuA,
37,Possession,1981,https://boxd.it/1BPm,
38,The Lord of the Rings: The Return of the King,2003,https://boxd.it/2b5u,
39,Boyz n the Hood,1991,https://boxd.it/29Ug,
40,Fantastic Mr. Fox,2009,https://boxd.it/1WyQ,
41,A Clockwork Orange,1971,https://boxd.it/2aVE,
42,The Artist,2011,https://boxd.it/2AwK,
43,The Lighthouse,2019,https://boxd.it/icFU,
44,Terminator 2: Judgment Day,1991,https://boxd.it/2aGY,
45,Oldboy,2003,https://boxd.it/29R2,
46,Satantango,1994,https://boxd.it/1j9M,
47,Full Metal Jacket,1987,https://boxd.it/2a1Q,
48,The Silence of the Lambs,1991,https://boxd.it/2aHW,
