Letterboxd list export v7
Date,Name,Tags,URL,Description
2022-05-26,Favorites By Year,,https://boxd.it/gJKFk,"Updated list. I haven't seen many old movies so a lot of the earlier picks are just there by default lmfao

Last update: July 24, 2023"

Position,Name,Year,URL,Description
1,The Kid,1921,https://boxd.it/1X5U,
2,Häxan,1922,https://boxd.it/n4O,
3,Safety Last!,1923,https://boxd.it/1AkW,
4,Sherlock Jr.,1924,https://boxd.it/298m,
5,Battleship Potemkin,1925,https://boxd.it/29Vo,
6,The General,1926,https://boxd.it/29co,
7,Berlin: Symphony of a Great City,1927,https://boxd.it/2aQk,
8,The Passion of Joan of Arc,1928,https://boxd.it/29DO,
9,All Quiet on the Western Front,1930,https://boxd.it/2b2g,
10,Dracula,1931,https://boxd.it/2b34,
11,Freaks,1932,https://boxd.it/2b3o,
12,Emperor Jones,1933,https://boxd.it/U5g,
13,The Only Son,1936,https://boxd.it/zX2,
14,The Lady Vanishes,1938,https://boxd.it/29ea,
15,The Wizard of Oz,1939,https://boxd.it/29Xu,
16,Pinocchio,1940,https://boxd.it/1V8C,
17,Citizen Kane,1941,https://boxd.it/71O,
18,To Be or Not to Be,1942,https://boxd.it/2aTy,
19,Double Indemnity,1944,https://boxd.it/297I,
20,"Rome, Open City",1945,https://boxd.it/2aD6,
21,It's a Wonderful Life,1946,https://boxd.it/28xA,
22,Bicycle Thieves,1948,https://boxd.it/23hW,
23,Rashomon,1950,https://boxd.it/2a9K,
24,Ikiru,1952,https://boxd.it/251c,
25,Tokyo Story,1953,https://boxd.it/1HuY,
26,Rear Window,1954,https://boxd.it/2a6Q,
27,Ordet,1955,https://boxd.it/Jiy,
28,The Killing,1956,https://boxd.it/2aMi,
29,Paths of Glory,1957,https://boxd.it/29b6,
30,Vertigo,1958,https://boxd.it/2apI,
31,North by Northwest,1959,https://boxd.it/2aRM,
32,The Apartment,1960,https://boxd.it/2aGE,
33,Yojimbo,1961,https://boxd.it/1SRY,
34,To Kill a Mockingbird,1962,https://boxd.it/2a2E,
35,High and Low,1963,https://boxd.it/1RSc,
36,The Umbrellas of Cherbourg,1964,https://boxd.it/22fK,
37,Red Beard,1965,https://boxd.it/251m,
38,Black Girl,1966,https://boxd.it/3jIQ,
39,Warrendale,1967,https://boxd.it/352G,
40,2001: A Space Odyssey,1968,https://boxd.it/2bf0,
41,M*A*S*H,1970,https://boxd.it/29U6,
42,A Clockwork Orange,1971,https://boxd.it/2aVE,
43,The Godfather,1972,https://boxd.it/2aNK,
44,American Graffiti,1973,https://boxd.it/29us,
45,Chinatown,1974,https://boxd.it/29vU,
46,Monty Python and the Holy Grail,1975,https://boxd.it/29GI,
47,Taxi Driver,1976,https://boxd.it/2b8y,
48,Star Wars,1977,https://boxd.it/72s,
49,Halloween,1978,https://boxd.it/2wRu,
50,Stalker,1979,https://boxd.it/28PO,
51,The Empire Strikes Back,1980,https://boxd.it/27Vw,
52,My Dinner with Andre,1981,https://boxd.it/1vLe,
53,The Thing,1982,https://boxd.it/294O,
54,Return of the Jedi,1983,https://boxd.it/27Vm,
55,"Paris, Texas",1984,https://boxd.it/29Ts,
56,Police Story,1985,https://boxd.it/1Zhe,
57,Stand by Me,1986,https://boxd.it/2aOe,
58,Where Is the Friend's House?,1987,https://boxd.it/ELg,
59,Akira,1988,https://boxd.it/2b1i,
60,Kiki's Delivery Service,1989,https://boxd.it/1JAY,
61,Paris Is Burning,1990,https://boxd.it/1jzg,
62,Boyz n the Hood,1991,https://boxd.it/29Ug,
63,The Living End,1992,https://boxd.it/1fRA,
64,Jurassic Park,1993,https://boxd.it/2aA2,
65,Chungking Express,1994,https://boxd.it/1UDa,
66,La Haine,1995,https://boxd.it/2as8,
67,Trainspotting,1996,https://boxd.it/29XY,
68,Neon Genesis Evangelion: The End of Evangelion,1997,https://boxd.it/1GRM,
69,Rushmore,1998,https://boxd.it/1TAO,
70,Magnolia,1999,https://boxd.it/2aze,
71,In the Mood for Love,2000,https://boxd.it/29tE,
72,Spirited Away,2001,https://boxd.it/2b4m,
73,Punch-Drunk Love,2002,https://boxd.it/20E4,
74,Oldboy,2003,https://boxd.it/29R2,
75,The Incredibles,2004,https://boxd.it/1XLm,
76,Wallace & Gromit: The Curse of the Were-Rabbit,2005,https://boxd.it/2ac0,
77,Pan's Labyrinth,2006,https://boxd.it/28No,
78,There Will Be Blood,2007,https://boxd.it/20Z2,
79,"Synecdoche, New York",2008,https://boxd.it/23zw,
80,Mary and Max,2009,https://boxd.it/1y2m,
81,Black Swan,2010,https://boxd.it/Sw0,
82,The Tree of Life,2011,https://boxd.it/1Zu8,
83,It's Such a Beautiful Day,2012,https://boxd.it/hCY2,
84,Her,2013,https://boxd.it/4O24,
85,Birdman or (The Unexpected Virtue of Ignorance),2014,https://boxd.it/5RFA,
86,Tangerine,2015,https://boxd.it/9QRe,
87,Moonlight,2016,https://boxd.it/d6bE,
88,Columbus,2017,https://boxd.it/eCuA,
89,Minding the Gap,2018,https://boxd.it/hDNu,
90,Parasite,2019,https://boxd.it/hTha,
91,Minari,2020,https://boxd.it/mL9M,
92,The Worst Person in the World,2021,https://boxd.it/oyws,
93,Everything Everywhere All at Once,2022,https://boxd.it/jUk4,
94,Past Lives,2023,https://boxd.it/oNB8,
