Letterboxd list export v7
Date,Name,Tags,URL,Description
2022-01-07,Filmmakers who inspire me,,https://boxd.it/eOVm6,"(their top film represents who they are)

left off at Gummo on BFI


FILMMAKERS FOR SHORT FILMS
- Bong Joon-ho
- Harmony Korine
- Stanley Kubrick
- Yorgos Lanthimos
- David Lynch
- Gaspar Noe
- Park Chan-wook"

Position,Name,Year,URL,Description
1,Punch-Drunk Love,2002,https://boxd.it/20E4,
2,Fish Tank,2009,https://boxd.it/1xBg,
3,Red Rocket,2021,https://boxd.it/sGpi,
4,La Dolce Vita,1960,https://boxd.it/2anC,
5,2 or 3 Things I Know About Her,1967,https://boxd.it/20Am,
6,"Aguirre, the Wrath of God",1972,https://boxd.it/27Fe,
7,Blue,1993,https://boxd.it/3iyA,
8,Kajillionaire,2020,https://boxd.it/jJDY,
9,Gummo,1997,https://boxd.it/1H0Y,
10,After Life,1998,https://boxd.it/1HMI,
11,C'mon C'mon,2021,https://boxd.it/nrI0,
12,Post Tenebras Lux,2012,https://boxd.it/3wTs,
13,It Comes at Night,2017,https://boxd.it/eLuk,
