Letterboxd list export v7
Date,Name,Tags,URL,Description
2022-07-29,Filmstagram 2022 Ranking,,https://boxd.it/hBCHq,Yay

Position,Name,Year,URL,Description
1,Parasite,2019,https://boxd.it/hTha,
2,It's Such a Beautiful Day,2012,https://boxd.it/hCY2,
3,Everything Everywhere All at Once,2022,https://boxd.it/jUk4,
4,City of God,2002,https://boxd.it/2a2a,
5,Her,2013,https://boxd.it/4O24,
6,Moonlight,2016,https://boxd.it/d6bE,
7,The Handmaiden,2016,https://boxd.it/948A,
8,There Will Be Blood,2007,https://boxd.it/20Z2,
9,Neon Genesis Evangelion: The End of Evangelion,1997,https://boxd.it/1GRM,
10,Birdman or (The Unexpected Virtue of Ignorance),2014,https://boxd.it/5RFA,
11,Spirited Away,2001,https://boxd.it/2b4m,
12,Punch-Drunk Love,2002,https://boxd.it/20E4,
13,Oldboy,2003,https://boxd.it/29R2,
14,Mulholland Drive,2001,https://boxd.it/297o,
15,Memories of Murder,2003,https://boxd.it/1TSo,
16,High and Low,1963,https://boxd.it/1RSc,
17,"Synecdoche, New York",2008,https://boxd.it/23zw,
18,Fantastic Mr. Fox,2009,https://boxd.it/1WyQ,
19,Inside Llewyn Davis,2013,https://boxd.it/34Ro,
20,Children of Men,2006,https://boxd.it/1Y2i,
21,Before Sunrise,1995,https://boxd.it/2bcU,
22,Yi Yi,2000,https://boxd.it/1vCw,
23,The Shining,1980,https://boxd.it/29Nu,
24,The Thing,1982,https://boxd.it/294O,
25,The Empire Strikes Back,1980,https://boxd.it/27Vw,
26,La Haine,1995,https://boxd.it/2as8,
27,Whiplash,2014,https://boxd.it/7bQA,
28,The Lord of the Rings: The Return of the King,2003,https://boxd.it/2b5u,
29,The Master,2012,https://boxd.it/2cBG,
30,A Clockwork Orange,1971,https://boxd.it/2aVE,
31,Arrival,2016,https://boxd.it/aNGk,
32,The Lord of the Rings: The Fellowship of the Ring,2001,https://boxd.it/2b5O,
33,Persona,1966,https://boxd.it/29B4,
34,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/6YK,
35,The Godfather,1972,https://boxd.it/2aNK,
36,Mishima: A Life in Four Chapters,1985,https://boxd.it/1sBA,
37,Taxi Driver,1976,https://boxd.it/2b8y,
38,The Grand Budapest Hotel,2014,https://boxd.it/3ZqO,
39,The Lighthouse,2019,https://boxd.it/icFU,
40,Stalker,1979,https://boxd.it/28PO,
41,"Paris, Texas",1984,https://boxd.it/29Ts,
42,The Batman,2022,https://boxd.it/eDGs,
43,Do the Right Thing,1989,https://boxd.it/29gA,
44,The Tree of Life,2011,https://boxd.it/1Zu8,
45,In the Mood for Love,2000,https://boxd.it/29tE,
46,The Dark Knight,2008,https://boxd.it/2b0k,
47,Magnolia,1999,https://boxd.it/2aze,
48,The Social Network,2010,https://boxd.it/17ue,
49,2001: A Space Odyssey,1968,https://boxd.it/2bf0,
50,Inception,2010,https://boxd.it/1skk,8.5 / 10
51,GoodFellas,1990,https://boxd.it/29FA,
52,12 Angry Men,1957,https://boxd.it/2auI,
53,"The Good, the Bad and the Ugly",1966,https://boxd.it/2ape,
54,Barry Lyndon,1975,https://boxd.it/25A2,
55,The Silence of the Lambs,1991,https://boxd.it/2aHW,
56,No Country for Old Men,2007,https://boxd.it/21ew,
57,Boogie Nights,1997,https://boxd.it/23um,
58,Se7en,1995,https://boxd.it/29zs,
59,Raging Bull,1980,https://boxd.it/28yI,
60,Phantom Thread,2017,https://boxd.it/e4uc,
61,Blue Velvet,1986,https://boxd.it/29BI,
62,Eyes Wide Shut,1999,https://boxd.it/2axs,
63,Back to the Future,1985,https://boxd.it/2b8e,
64,Inglourious Basterds,2009,https://boxd.it/1JzG,
65,Pulp Fiction,1994,https://boxd.it/29Pq,
66,Blade Runner,1982,https://boxd.it/2bcA,
67,Once Upon a Time... in Hollywood,2019,https://boxd.it/gH0O,
68,The Big Lebowski,1998,https://boxd.it/2b6C,
69,Dune,2021,https://boxd.it/fA7G,
70,The Wolf of Wall Street,2013,https://boxd.it/3C1m,
71,Django Unchained,2012,https://boxd.it/2cCk,
72,Interstellar,2014,https://boxd.it/4VZ8,
73,Fight Club,1999,https://boxd.it/2a9q,
