Letterboxd list export v7
Date,Name,Tags,URL,Description
2026-04-09,First Watches of 2026,,https://boxd.it/TMk9O,"Inspired by my friend Hazel's list

Last update - April 8, 2026"

Position,Name,Year,URL,Description
1,Man on Wire,2008,https://boxd.it/1ORK,
2,A History of Violence,2005,https://boxd.it/2bfa,
3,Opening Night,1977,https://boxd.it/1f4e,
4,Twin Peaks: Fire Walk with Me,1992,https://boxd.it/27Qw,
5,Four Daughters,2023,https://boxd.it/ErTw,
6,Eyes Without a Face,1960,https://boxd.it/1j9i,
7,The Devils,1971,https://boxd.it/1inI,
8,Claire's Knee,1970,https://boxd.it/26aO,
9,28 Years Later: The Bone Temple,2026,https://boxd.it/MwlA,
10,Nirvanna the Band the Show the Movie,2025,https://boxd.it/HG9a,
11,The President's Cake,2025,https://boxd.it/UhSA,
12,Black Narcissus,1947,https://boxd.it/1Kce,
13,"sex, lies, and videotape",1989,https://boxd.it/28Oc,
14,Slums of Beverly Hills,1998,https://boxd.it/1NCO,
15,Ratcatcher,1999,https://boxd.it/1mSg,
16,Speed Racer,2008,https://boxd.it/20UQ,
17,Bound,1996,https://boxd.it/1Z1g,
18,Popstar: Never Stop Never Stopping,2016,https://boxd.it/blDa,
19,Alpha,2025,https://boxd.it/N008,
20,You Can Count on Me,2000,https://boxd.it/1Omi,
21,If I Had Legs I'd Kick You,2025,https://boxd.it/HUtS,
22,Totally F***ed Up,1993,https://boxd.it/1fg0,
23,Forrest Gump,1994,https://boxd.it/728,
24,Eephus,2024,https://boxd.it/KzLW,
25,Hoppers,2026,https://boxd.it/OFpg,
26,Imposters,2026,https://boxd.it/ThfG,
27,21 Jump Street,2012,https://boxd.it/J0,
28,Reprise,2006,https://boxd.it/1Sji,
29,Faces of Death,2026,https://boxd.it/wiLC,
30,The Fugitive Kind,1960,https://boxd.it/JLq,
31,Wandering Ginza Butterfly,1972,https://boxd.it/1idI,
32,Is This Thing On?,2025,https://boxd.it/H73Q,
33,Rebuilding,2025,https://boxd.it/JYjm,
34,Cutting Through Rocks,2025,https://boxd.it/RSHo,
35,Send Help,2026,https://boxd.it/JuhA,
36,Zootopia 2,2025,https://boxd.it/F0vO,
37,The Testament of Ann Lee,2025,https://boxd.it/RTTU,
38,Wandering Ginza Butterfly: She-Cat Gambler,1972,https://boxd.it/3kZ4,
39,Project Hail Mary,2026,https://boxd.it/pEeQ,
40,Song Sung Blue,2025,https://boxd.it/QMqO,
41,Ready or Not,2019,https://boxd.it/kOf0,
42,Ready or Not 2: Here I Come,2026,https://boxd.it/MfY6,
43,The Moment,2026,https://boxd.it/SCkg,
44,You Don't Mess with the Zohan,2008,https://boxd.it/1VHs,
45,The Bride!,2026,https://boxd.it/HSw6,
46,Faces of Death,1978,https://boxd.it/1Sdu,
47,Anaconda,2025,https://boxd.it/KV9g,
48,HIM,2025,https://boxd.it/BfYI,
49,"Good Luck, Have Fun, Don't Die",2025,https://boxd.it/Glua,
