Letterboxd list export v7
Date,Name,Tags,URL,Description
2023-10-07,Good dream sequences,,https://boxd.it/pzyRu,

Position,Name,Year,URL,Description
1,Terminator 2: Judgment Day,1991,https://boxd.it/2aGY,Sarah's visions of Judgement Day
2,Mulholland Drive,2001,https://boxd.it/297o,The first two acts of the movie
3,Eraserhead,1977,https://boxd.it/299u,The opening scene / recurring moon sequences
4,Enter the Void,2009,https://boxd.it/1dy2,The drug trips and visions of life in the past
5,Vertigo,1958,https://boxd.it/2apI,Scottie falls asleep about halfway through
6,Toy Story 2,1999,https://boxd.it/29qq,"""I don't wanna play with you anymore..."""
7,To Each His Own Cinema,2007,https://boxd.it/1bju,Absurda (David Lynch's segment)
8,The Big Lebowski,1998,https://boxd.it/2b6C,Fingerholes
9,Oldboy,2003,https://boxd.it/29R2,THERE ARE BUGS UNDER YOUR SKIN
10,Star Wars: Episode III – Revenge of the Sith,2005,https://boxd.it/27US,Anakin's birth-giving nightmares
