Letterboxd list export v7
Date,Name,Tags,URL,Description
2023-05-12,Good needle drops,,https://boxd.it/mKu2M,Needle drops that are used effectively for emotional and/or thematic impact. These rise above the basic use of needle drops just for vibes. Excludes the original score unless it includes songs with lyrics.

Position,Name,Year,URL,Description
1,Moonlight,2016,https://boxd.it/d6bE,<p>Aretha Franklin — One Step Ahead<br>Goodie Mob — Cell Therapy</p>
2,Knock at the Cabin,2023,https://boxd.it/npL2,<p>KC &amp; The Sunshine Band — Boogie Shoes</p>
3,Decision to Leave,2022,https://boxd.it/qp9e,<p>Jung Hoon Hee — Mist</p>
4,Ikiru,1952,https://boxd.it/251c,<p>Gondola no Uta</p>
5,Lady Snowblood,1973,https://boxd.it/26Fi,<p>Meiko Kaji — The Flower of Carnage</p>
6,GoodFellas,1990,https://boxd.it/29FA,<p>Tony Bennett — Rags to Riches</p>
7,Chungking Express,1994,https://boxd.it/1UDa,<p>The Mamas &amp; the Papas — California Dreamin’<br>The Cranberries — Dreams</p>
8,Django Unchained,2012,https://boxd.it/2cCk,<p>Annibale E I Cantori Moderni — Trinity (Titoli)</p>
9,Adaptation.,2002,https://boxd.it/26mA,<p>The Turtles — Happy Together</p>
10,Casino Royale,2006,https://boxd.it/1alk,<p>Chris Cornell — You Know My Name</p>
11,Call Me by Your Name,2017,https://boxd.it/dYmm,<p>Sufjan Stevens — Mystery of Love</p>
12,Red Rocket,2021,https://boxd.it/sGpi,<p>*NSYNC — Bye Bye Bye</p>
13,Blue Velvet,1986,https://boxd.it/29BI,<p>Bobby Vinton — Blue Velvet</p>
14,Girlhood,2014,https://boxd.it/7WyI,<p>Rihanna — Diamonds</p>
15,Vortex,2021,https://boxd.it/uoni,<p>Françoise Hardy — Mon amie la rose</p>
16,Last Night in Soho,2021,https://boxd.it/lbJC,<p>Cilla Black — You’re My World</p>
17,Beau Travail,1999,https://boxd.it/1NI8,<p>Corona — The Rhythm of the Night</p>
18,Aftersun,2022,https://boxd.it/Arw0,<p>Queen — Under Pressure</p>
19,Do the Right Thing,1989,https://boxd.it/29gA,<p>Public Enemy — Fight the Power</p>
20,Us,2019,https://boxd.it/gnV6,<p>Luniz — I Got 5 On It</p>
21,Chi-Raq,2015,https://boxd.it/bjIM,<p>Nick Cannon — Pray 4 My City</p>
22,Magnolia,1999,https://boxd.it/2aze,<p>Supertramp — Goodbye Stranger</p>
23,Spring Breakers,2012,https://boxd.it/421s,<p>Ellie Goulding — Lights</p>
24,The Secret Life of Walter Mitty,2013,https://boxd.it/3SWy,<p>Of Monsters and Men — Dirty Paws<br></p>
25,Baby Driver,2017,https://boxd.it/bhF2,<p>Queen — Brighton Rock<br>Simon &amp; Garfunkel — Baby Driver</p>
26,The Royal Tenenbaums,2001,https://boxd.it/1YHU,<p>The Beatles — Hey Jude</p>
27,The Big Lebowski,1998,https://boxd.it/2b6C,<p>Kenny Rogers — Just Dropped In</p>
28,Guardians of the Galaxy,2014,https://boxd.it/3VH2,<p>Blue Swede — Hooked on a Feeling</p>
29,Breaking the Waves,1996,https://boxd.it/2b1W,Every rock song
