Letterboxd list export v7
Date,Name,Tags,URL,Description
2023-05-23,Grab Bag of Movies for Pride Month 2023,,https://boxd.it/mV6k0,I LOVE BEING QUEER !!! (I doubt I'll get to all of these but you never know)

Position,Name,Year,URL,Description
1,Glen or Glenda,1953,https://boxd.it/1yuq,
2,Funeral Parade of Roses,1969,https://boxd.it/28Cg,
3,Portrait of Jason,1967,https://boxd.it/2Vaq,
4,Pink Flamingos,1972,https://boxd.it/29NO,
5,Jubilee,1978,https://boxd.it/Zp6,
6,"Greetings from Washington, D.C.",1981,https://boxd.it/yyR6,
7,Querelle,1982,https://boxd.it/XEy,
8,Dressed in Blue,1983,https://boxd.it/7FDQ,
9,The Times of Harvey Milk,1984,https://boxd.it/1g1U,
10,Desert Hearts,1985,https://boxd.it/2aFc,
11,Mala Noche,1986,https://boxd.it/2avc,
12,Vera,1986,https://boxd.it/7mgy,
13,I've Heard the Mermaids Singing,1987,https://boxd.it/3TQc,
14,Common Threads: Stories from the Quilt,1989,https://boxd.it/3P2W,
15,Tongues Untied,1989,https://boxd.it/3m1g,
16,Totally F***ed Up,1993,https://boxd.it/1fg0,
17,Fresh Kill,1994,https://boxd.it/d3X6,
18,The Doom Generation,1995,https://boxd.it/1PVe,
19,The Incredibly True Adventure of Two Girls in Love,1995,https://boxd.it/1nDc,
20,Shinjuku Boys,1995,https://boxd.it/2Bqy,
21,Bound,1996,https://boxd.it/1Z1g,
22,But I'm a Cheerleader,1999,https://boxd.it/1CW4,
23,By Hook or by Crook,2001,https://boxd.it/6l40,
24,Lifetime Guarantee: Phranc's Adventures in Plastic,2001,https://boxd.it/rBDM,
25,Southern Comfort,2001,https://boxd.it/qQm,
26,Mysterious Skin,2004,https://boxd.it/1UsG,
27,Tropical Malady,2004,https://boxd.it/1TCA,
28,The Aggressives,2005,https://boxd.it/3eW4,
29,A Single Man,2009,https://boxd.it/1dx4,
30,Tomboy,2011,https://boxd.it/49U,
31,Weekend,2011,https://boxd.it/2Kzu,
32,Stud Life,2012,https://boxd.it/5r0w,
33,BPM (Beats per Minute),2017,https://boxd.it/g796,
34,Chavela,2017,https://boxd.it/fGdA,
35,Shakedown,2018,https://boxd.it/atPc,
36,Pier Kids,2019,https://boxd.it/iUL8,
37,Seahorse: The Dad Who Gave Birth,2019,https://boxd.it/lGVY,
38,So Pretty,2019,https://boxd.it/ladK,
39,No Ordinary Man,2020,https://boxd.it/rk3W,
