Letterboxd list export v7
Date,Name,Tags,URL,Description
2022-01-15,High School Film Studies Ranked,,https://boxd.it/eYWh2,Not a whole lot of quality but this will be interesting to look back on years out

Position,Name,Year,URL,Description
1,Birdman or (The Unexpected Virtue of Ignorance),2014,https://boxd.it/5RFA,
2,Memento,2000,https://boxd.it/2bcK,
3,Stand by Me,1986,https://boxd.it/2aOe,
4,Fargo,1996,https://boxd.it/2aHM,
5,Run Lola Run,1998,https://boxd.it/2b8o,
6,Rear Window,1954,https://boxd.it/2a6Q,
7,Nightcrawler,2014,https://boxd.it/780m,
8,Back to the Future,1985,https://boxd.it/2b8e,
9,The Secret Life of Walter Mitty,2013,https://boxd.it/3SWy,
10,Double Indemnity,1944,https://boxd.it/297I,
11,Rocky,1976,https://boxd.it/28Uk,
12,The Kid,1921,https://boxd.it/1X5U,
13,Shutter Island,2010,https://boxd.it/1U82,
14,Vantage Point,2008,https://boxd.it/20Uw,
15,Disturbia,2007,https://boxd.it/20rk,
