Letterboxd list export v7
Date,Name,Tags,URL,Description
2022-10-28,Hirokazu Koreeda's 50 Recommended Films,,https://boxd.it/iS8Im,"<a href=""https://www.lacinetek.com/fr-en/director-list/hirokazu-kore-eda"">Source / original list</a>"

Position,Name,Year,URL,Description
1,Places in the Heart,1984,https://boxd.it/1PDO,
2,"Brother Sun, Sister Moon",1972,https://boxd.it/26B6,
3,The Night of the Shooting Stars,1982,https://boxd.it/XFm,
4,Umberto D.,1952,https://boxd.it/29vg,
5,Amarcord,1973,https://boxd.it/20NA,
6,Opening Night,1977,https://boxd.it/1f4e,
7,El Sur,1983,https://boxd.it/JbM,
8,Alpine Fire,1985,https://boxd.it/2ggW,
9,Day for Night,1973,https://boxd.it/28kG,
10,Il Grido,1957,https://boxd.it/10ig,
11,Le Notti Bianche,1957,https://boxd.it/V0G,
12,Raining Stones,1993,https://boxd.it/bdu,
13,"Freeze, Die, Come to Life",1990,https://boxd.it/Y7K,
14,Exotica,1994,https://boxd.it/1DXW,
15,Sonatine,1993,https://boxd.it/20TI,
16,Typhoon Club,1985,https://boxd.it/3Ffw,
17,Children Hand in Hand,1964,https://boxd.it/fDBk,
18,Floating Clouds,1955,https://boxd.it/2FLU,
19,Tange Sazen and the Pot Worth a Million Ryo,1935,https://boxd.it/3LU6,
20,Muddy River,1981,https://boxd.it/47t2,
21,Ikiru,1952,https://boxd.it/251c,
22,A River Runs Through It,1992,https://boxd.it/2aFm,
23,My Life as a Dog,1985,https://boxd.it/1ZOM,
24,Time of the Gypsies,1988,https://boxd.it/1E1Y,
25,Tokyo Story,1953,https://boxd.it/1HuY,
26,1900,1976,https://boxd.it/24Zg,
27,Landscape in the Mist,1988,https://boxd.it/JRy,
28,Notorious,1946,https://boxd.it/2aDK,
29,Letter from an Unknown Woman,1948,https://boxd.it/2wRO,
30,Le Trou,1960,https://boxd.it/1nSw,
31,L'Argent,1983,https://boxd.it/XIg,
32,Lola,1961,https://boxd.it/11ho,
33,A Brighter Summer Day,1991,https://boxd.it/1Luy,
34,Dust in the Wind,1986,https://boxd.it/OcA,
35,The Apartment,1960,https://boxd.it/2aGE,
36,Heaven Can Wait,1943,https://boxd.it/1Gpy,
37,Bride of Frankenstein,1935,https://boxd.it/2aPc,
38,Contact,1997,https://boxd.it/29OM,
39,Broken Blossoms,1919,https://boxd.it/29kC,
40,City Lights,1931,https://boxd.it/29ki,
41,Wild Strawberries,1957,https://boxd.it/29ZU,
42,Rosemary's Baby,1968,https://boxd.it/29zM,
43,Johnny Got His Gun,1971,https://boxd.it/1KkM,
44,Short Cuts,1993,https://boxd.it/29Nk,
45,What Ever Happened to Baby Jane?,1962,https://boxd.it/1WJE,
46,The Funeral,1996,https://boxd.it/1BC8,
47,The Purple Rose of Cairo,1985,https://boxd.it/1VeU,
48,Seisaku's Wife,1965,https://boxd.it/3R3W,
49,The Green Ray,1986,https://boxd.it/t8W,
50,Peppermint Candy,1999,https://boxd.it/ZQc,
